#{"t_start": 1785500087.3976455, "env_id": "DriverFatigue-v0"}
r,l,t
95.039002,50,0.072911
192.16338,50,0.105155
165.109617,50,0.364738
170.915107,50,0.421694
207.509518,50,0.472169
237.022851,50,0.761293
262.693137,50,0.818163
236.48325,50,1.098394
219.011704,50,1.12493
153.758398,50,1.150989
171.697045,50,1.428006
264.279071,50,1.48475
237.400708,50,1.688256
252.497136,50,1.716801
177.762282,50,1.750205
279.849095,50,1.973175
229.3566,50,2.025928
83.322085,50,2.311254
257.873721,50,2.367783
260.974518,50,2.420007
55.087935,50,2.644836
273.843096,50,2.699555
219.896296,50,2.764731
-10.255995,50,2.934973
257.584109,50,2.965295
150.649374,50,3.190943
226.136277,50,3.234968
167.293994,50,3.286634
138.543989,50,3.503707
127.557759,50,3.52784
247.328594,50,3.750174
157.856676,50,3.805002
236.513124,50,3.867581
250.894778,50,4.201746
238.321271,50,4.257158
256.036599,50,4.531514
186.446806,50,4.597355
167.596159,50,4.657468
225.427856,50,4.961006
239.226307,50,5.017094
242.198957,50,5.25109
59.702864,50,5.307879
278.058868,50,5.363004
189.707649,50,5.609982
197.807027,50,5.662356
141.311435,50,5.688361
263.674139,50,5.902248
232.92652,50,5.9429
306.380382,50,6.159792
192.21179,50,6.213252
218.78749,50,6.270839
193.683938,50,6.514233
262.716163,50,6.568223
238.217826,50,6.808921
152.404529,50,6.86443
171.267868,50,6.904866
255.17036,50,7.1942
213.570427,50,7.24834
254.828864,50,7.454497
256.281442,50,7.513037
240.940861,50,7.560733
188.049839,50,7.802985
268.736799,50,7.854163
141.843238,50,7.909366
252.143385,50,8.235346
103.484095,50,8.275396
264.832689,50,8.556795
264.392922,50,8.611513
246.708712,50,8.668389
190.739143,50,9.024853
119.216027,50,9.051712
124.080108,50,9.304615
272.167698,50,9.371156
246.848633,50,9.438201
285.43809,50,9.681835
-29.379827,50,9.734938
265.582091,50,9.92744
247.851379,50,9.963629
241.958357,50,10.01412
260.7416,50,10.258561
140.887482,50,10.316707
165.759541,50,10.503384
261.56605,50,10.533264
276.750063,50,10.582684
178.113637,50,10.809561
132.729209,50,10.863001
301.245383,50,10.913626
214.790034,50,11.113539
277.020648,50,11.138319
258.332849,50,11.384045
84.530388,50,11.413825
223.123313,50,11.446927
181.165036,50,11.69955
245.611029,50,11.739028
257.85768,50,12.050912
259.959942,50,12.081671
264.955881,50,12.116985
268.642044,50,12.365
264.258447,50,12.407044
236.602248,50,12.690566
219.286254,50,12.75125
251.121321,50,12.782975
171.281474,50,13.033066
86.775394,50,13.098114
186.15597,50,13.386473
216.913551,50,13.418834
253.870579,50,13.461417
269.132266,50,13.850315
192.902146,50,13.923459
282.959925,50,14.063501
237.156121,50,14.52462
222.690472,50,14.587925
209.328635,50,14.826418
220.978429,50,14.887079
249.302099,50,14.944518
15.755958,50,15.242943
283.164221,50,15.306992
