#{"t_start": 1785490772.4411216, "env_id": "DriverFatigue-v0"}
r,l,t
95.039002,50,0.227454
192.16338,50,0.34655
156.385567,50,0.442906
132.910269,50,0.533421
165.04559,50,0.637336
168.661976,50,1.992684
186.095425,50,2.084055
203.066172,50,2.165074
123.616274,50,2.258585
199.971889,50,2.368184
249.718731,50,3.67187
239.093427,50,3.781349
205.147368,50,3.854198
252.653209,50,3.936908
111.526533,50,4.029341
194.861087,50,5.596514
215.109878,50,5.694355
224.714838,50,5.784811
270.557729,50,5.872714
230.640433,50,5.964458
266.587786,50,6.759449
248.493063,50,6.832621
181.365703,50,6.909491
202.647848,50,6.98043
258.274247,50,7.057896
229.921362,50,7.929323
240.291014,50,8.120947
216.856673,50,8.203653
145.898083,50,8.324358
200.605192,50,8.460761
224.657869,50,9.660368
195.020999,50,9.801182
259.577545,50,9.930589
262.245491,50,10.166317
233.416783,50,10.338384
243.060412,50,11.734941
258.090175,50,11.832272
138.347977,50,11.928254
235.712682,50,12.01056
250.111504,50,12.084095
209.418774,50,13.362455
219.700077,50,13.557212
275.058869,50,13.655384
172.896728,50,13.767079
279.184313,50,13.85053
163.154327,50,13.952146
255.661833,50,15.260833
253.364027,50,15.36088
306.380382,50,15.452148
220.413423,50,15.5426
203.951955,50,15.64522
209.816243,50,17.048772
236.757344,50,17.150379
235.699747,50,17.246132
150.816061,50,17.327988
243.329023,50,17.413791
247.319815,50,18.787325
143.559385,50,18.893707
254.639894,50,18.99466
246.786517,50,19.075343
249.286434,50,19.164572
209.345534,50,19.958192
228.64954,50,20.031399
253.709918,50,20.101364
244.231516,50,20.165448
93.562522,50,20.239475
237.545918,50,21.228175
276.266789,50,21.353333
231.663899,50,21.424668
246.478255,50,21.517394
237.187468,50,21.585532
181.819566,50,22.847262
272.868422,50,22.949584
155.40661,50,23.034526
270.016459,50,23.136605
11.865906,50,23.22352
116.234172,50,24.623464
255.883852,50,24.7362
278.2477,50,24.833635
238.489125,50,24.922407
