#{"t_start": 1785490583.8306487, "env_id": "DriverFatigue-v0"}
r,l,t
95.039002,50,0.097352
192.16338,50,0.177149
165.109617,50,0.415143
165.915107,50,0.480506
207.509518,50,0.551047
244.192756,50,0.804595
252.637151,50,0.889824
247.737571,50,1.138885
195.147798,50,1.231268
139.039293,50,1.335456
257.412221,50,1.602097
273.155583,50,1.678784
255.10896,50,1.928366
242.745358,50,1.995629
131.545157,50,2.075397
211.366272,50,2.360077
245.159293,50,2.437672
246.86383,50,2.700018
272.018226,50,2.782801
244.809059,50,2.858468
235.349255,50,3.104323
255.383436,50,3.175245
214.684319,50,3.25718
244.366549,50,3.514911
259.687054,50,3.596198
263.840133,50,3.838697
252.011147,50,3.911428
134.058143,50,3.990429
168.453225,50,4.238058
187.217812,50,4.311835
269.738008,50,4.562848
228.604442,50,4.638719
251.10013,50,4.703742
232.54885,50,4.951515
243.609831,50,5.030462
240.561554,50,5.285631
172.863364,50,5.364336
122.941795,50,5.437952
262.565789,50,5.695141
245.648747,50,5.772007
246.478919,50,6.018006
220.00921,50,6.101736
266.905704,50,6.173927
172.592635,50,6.418049
245.914187,50,6.49105
152.4303,50,6.567969
262.35064,50,6.810349
254.561485,50,6.875978
296.940376,50,7.113754
229.494692,50,7.190385
234.875131,50,7.265061
222.387801,50,7.514088
227.325867,50,7.580034
238.217826,50,7.843687
164.270651,50,7.919935
265.389831,50,7.99677
265.506124,50,8.247141
148.310115,50,8.315524
272.020034,50,8.555383
209.836668,50,8.630353
210.073967,50,8.703359
208.774542,50,8.936877
223.31797,50,9.008538
298.784081,50,9.08953
254.82156,50,9.340276
271.841442,50,9.409066
226.96505,50,9.659853
250.282094,50,9.73715
143.861411,50,9.815376
249.352373,50,10.082211
237.051698,50,10.146748
196.388677,50,10.397547
251.470187,50,10.48046
164.379035,50,10.554683
274.544298,50,10.79792
264.761156,50,10.866971
35.851833,50,11.107349
305.035616,50,11.174641
288.432858,50,11.323102
265.919228,50,11.583051
106.542939,50,11.655062
242.543967,50,11.951219
148.239993,50,12.050583
287.017948,50,12.162797
228.701506,50,12.553953
244.695132,50,12.697093
313.693685,50,12.767007
251.064879,50,13.189914
259.869034,50,13.324209
273.215481,50,13.623303
283.653044,50,13.740113
180.461942,50,13.917833
225.087538,50,14.187515
245.229027,50,14.258373
276.590683,50,14.480256
194.999722,50,14.551927
275.656225,50,14.621203
233.4035,50,14.864807
236.099909,50,14.931157
261.871649,50,15.147437
245.434913,50,15.207366
223.520122,50,15.269964
275.400078,50,15.484132
196.423717,50,15.548616
244.251648,50,15.771097
214.548431,50,15.841326
157.153061,50,15.907816
191.24267,50,16.130947
226.203411,50,16.200176
172.293681,50,16.265598
182.227363,50,16.493106
197.106724,50,16.576112
182.841054,50,16.814849
236.231575,50,16.883337
251.211283,50,16.950146
139.152081,50,17.247139
269.886117,50,17.343597
56.293713,50,17.698788
240.022667,50,17.797536
256.756818,50,17.879197
189.448,50,18.257274
212.304433,50,18.346101
259.398437,50,18.704885
238.999275,50,18.835199
273.546199,50,18.938696
103.939047,50,19.338608
203.395426,50,19.480945
239.446157,50,19.567401
194.055743,50,19.920096
264.039109,50,19.996473
200.000856,50,20.254758
273.754952,50,20.344645
245.773682,50,20.416008
230.916888,50,20.662492
221.012355,50,20.733554
185.738825,50,20.997061
270.60919,50,21.098994
172.405718,50,21.197488
280.131051,50,21.504793
202.75825,50,21.59887
234.251527,50,21.907326
203.478731,50,22.015819
257.637594,50,22.104155
217.161236,50,22.406951
138.77222,50,22.497106
178.622311,50,22.798535
242.1158,50,22.899395
260.972285,50,22.991643
258.220911,50,23.364221
-225.697088,50,23.46462
218.948753,50,23.544413
213.185095,50,23.873851
217.477988,50,23.980051
246.619977,50,24.305636
251.618911,50,24.40274
307.586357,50,24.495431
135.104851,50,24.827721
198.062416,50,24.911431
194.352061,50,25.219464
241.042013,50,25.31871
250.815638,50,25.412091
190.167796,50,25.737303
228.044731,50,25.821115
236.27251,50,26.117599
266.427291,50,26.226795
158.579006,50,26.323198
139.10144,50,26.751043
179.116047,50,26.855904
245.455356,50,27.136846
259.373502,50,27.233256
315.430055,50,27.330019
151.867584,50,27.665286
162.084723,50,27.846877
252.635529,50,27.936958
192.515223,50,28.414613
268.674974,50,28.515254
210.38536,50,28.847125
203.350816,50,28.938821
213.354532,50,29.02841
280.656164,50,29.341991
302.851899,50,29.433139
256.255322,50,29.79233
92.150638,50,29.912341
242.019257,50,30.00866
225.930372,50,30.33111
207.874821,50,30.435896
195.404554,50,30.766841
257.889083,50,30.863431
264.099838,50,30.968436
268.854073,50,31.263962
229.422866,50,31.351151
261.935179,50,31.44332
91.702307,50,31.751071
194.377659,50,31.857617
200.111649,50,32.139236
269.527666,50,32.224066
261.349652,50,32.31296
212.918676,50,32.631113
217.706624,50,32.725405
204.763517,50,33.009853
256.737603,50,33.109027
114.747861,50,33.19799
261.358657,50,33.485523
283.161532,50,33.574119
38.200482,50,33.872444
133.728129,50,33.992024
152.777787,50,34.090091
233.116922,50,34.382931
61.924861,50,34.487561
233.871442,50,34.79313
208.297011,50,34.878105
