#{"t_start": 1785500511.899275, "env_id": "DriverFatigue-v0"}
r,l,t
95.039002,50,0.075426
192.16338,50,0.103049
156.385567,50,0.128662
132.910269,50,0.15368
165.04559,50,0.181359
105.746408,50,0.208569
178.879667,50,0.232492
195.651762,50,0.253607
88.297626,50,0.264649
155.961905,50,0.289576
226.602547,50,0.684908
240.003238,50,0.742899
175.347976,50,0.797655
242.018419,50,0.847518
96.143232,50,0.869974
151.909595,50,0.890512
182.791368,50,0.908001
183.910771,50,0.93258
240.565993,50,0.951925
181.44811,50,0.971713
260.166653,50,1.348387
209.05952,50,1.373965
188.584368,50,1.441297
130.548927,50,1.496298
241.599826,50,1.532027
244.501739,50,1.554425
216.486871,50,1.576107
214.254332,50,1.598723
217.267165,50,1.618531
239.140743,50,1.638637
210.657869,50,2.045852
159.885396,50,2.087124
223.533058,50,2.145358
247.077332,50,2.199537
218.167248,50,2.238698
238.056888,50,2.261925
248.429995,50,2.283092
171.631972,50,2.297829
266.508755,50,2.313668
244.955482,50,2.339108
266.527402,50,2.707725
169.063133,50,2.735041
275.058869,50,2.786294
190.497633,50,2.819853
264.550828,50,2.847222
154.599226,50,2.890879
255.661833,50,2.927031
273.793195,50,2.948914
305.879854,50,2.969669
229.494692,50,2.988882
244.05007,50,2.998032
234.200856,50,3.433027
247.501352,50,3.482589
238.217826,50,3.53417
155.684519,50,3.588831
211.157478,50,3.613359
253.738032,50,3.635642
124.259997,50,3.641198
251.769771,50,3.674161
277.879083,50,3.697045
253.912796,50,3.712179
210.492534,50,4.217713
239.858649,50,4.270019
255.80765,50,4.30323
244.231516,50,4.348966
93.562522,50,4.394637
244.222802,50,4.41003
270.710275,50,4.446194
245.334951,50,4.468381
211.780955,50,4.488883
195.204909,50,4.497242
122.052238,50,4.922664
267.217752,50,4.966977
172.937658,50,5.027791
290.801415,50,5.082516
-84.129553,50,5.123797
120.180863,50,5.146785
281.133558,50,5.168064
253.339816,50,5.187098
254.056828,50,5.207261
104.14482,50,5.228308
185.309469,50,5.634221
270.756881,50,5.66162
288.632925,50,5.722785
198.59777,50,5.760191
218.878943,50,5.78904
305.244078,50,5.814812
229.448515,50,5.843065
283.823009,50,5.862227
293.199087,50,5.879579
212.958598,50,5.894738
156.39493,50,5.925181
191.838096,50,6.293246
239.791041,50,6.345064
262.497535,50,6.400612
221.514666,50,6.456617
274.284445,50,6.478463
219.089477,50,6.494266
262.314175,50,6.519453
254.963802,50,6.541766
219.604273,50,6.56087
220.808921,50,6.577379
258.592738,50,7.000235
197.36598,50,7.02693
289.383777,50,7.06881
192.873678,50,7.120597
216.035929,50,7.175129
190.864638,50,7.193629
233.617789,50,7.208574
230.210323,50,7.244485
92.474621,50,7.262029
182.394732,50,7.283767
201.25235,50,7.638193
191.592615,50,7.693109
269.383006,50,7.747726
160.346428,50,7.801814
277.969267,50,7.835121
55.145566,50,7.853001
214.118267,50,7.878511
262.233631,50,7.894377
229.539315,50,7.908576
279.205412,50,7.940637
227.285625,50,8.381082
235.924518,50,8.426796
240.772736,50,8.481766
107.019086,50,8.525377
245.785656,50,8.574914
256.826269,50,8.591513
195.341789,50,8.606803
255.9268,50,8.6385
186.873914,50,8.659041
245.680474,50,8.680495
267.516922,50,8.708437
68.461755,50,9.125732
225.83873,50,9.184354
248.021209,50,9.242442
262.381925,50,9.284962
211.437992,50,9.30625
278.019502,50,9.322254
168.550976,50,9.354277
211.127812,50,9.375441
213.462633,50,9.399089
228.733988,50,9.425165
218.524199,50,9.856018
236.460736,50,9.896589
231.912104,50,9.946453
255.656315,50,10.011076
230.057469,50,10.044544
246.592192,50,10.06288
61.250461,50,10.093382
232.475023,50,10.118206
167.426223,50,10.144817
213.480171,50,10.180735
171.254847,50,10.74317
251.407458,50,10.80953
284.254838,50,10.890653
218.198223,50,11.025435
266.561599,50,11.100179
125.760443,50,11.168716
233.641188,50,11.229398
243.109134,50,11.259764
269.668755,50,11.290357
228.407214,50,11.329004
133.820235,50,11.932316
