#{"t_start": 1785497938.182017, "env_id": "DriverFatigue-v0"}
r,l,t
110.095719,50,0.039683
170.38019,50,0.075416
129.77137,50,0.233481
154.84283,50,0.375831
194.792439,50,0.506363
218.518713,50,0.59978
181.719086,50,0.700589
166.13699,50,0.803552
192.297379,50,0.930695
196.517594,50,1.06422
214.154764,50,1.162991
200.732268,50,1.284658
201.763803,50,1.464863
137.890893,50,1.606023
227.948866,50,1.751432
155.380625,50,1.869774
261.092894,50,2.029542
228.225421,50,2.139719
257.750134,50,2.245187
256.066526,50,2.365491
197.957841,50,2.516325
196.722687,50,2.606779
226.325981,50,2.789628
249.735296,50,2.947459
205.52132,50,3.101686
246.25435,50,3.22003
265.590448,50,3.349364
133.551798,50,3.493449
176.773002,50,3.65865
279.908642,50,3.79881
282.906739,50,3.91548
237.40916,50,4.066677
193.233175,50,4.207518
291.040407,50,4.350825
222.474954,50,4.470346
258.456563,50,4.58388
33.449755,50,4.714109
217.768505,50,4.827679
211.811765,50,4.95225
132.795443,50,5.017806
227.925157,50,5.254121
170.821516,50,5.368456
183.421937,50,5.501755
108.136652,50,5.624738
-178.326175,50,5.778051
51.840491,50,5.890847
-157.146111,50,6.033815
23.600594,50,6.190198
213.251906,50,6.370236
-411.29828,40,6.480086
-551.654474,39,6.572396
-396.142872,28,6.630878
-144.81119,50,6.721503
-441.768486,43,6.93068
-206.832152,50,7.035661
-127.652168,50,7.166545
-557.955976,47,7.274287
-167.992285,50,7.473426
-289.234784,50,7.615127
-227.106315,50,7.740109
149.71523,50,7.879668
-26.701816,50,8.013793
35.032293,50,8.163017
-274.53618,50,8.304901
31.586924,50,8.440707
-0.644431,50,8.584063
-123.341666,50,8.726811
45.516735,50,8.869509
-406.837404,38,8.982311
-90.196372,50,9.089848
-226.710122,50,9.214378
-135.964344,50,9.304783
-81.72887,50,9.462528
-138.61422,50,9.558518
11.862999,50,9.676945
-7.360781,50,9.804765
184.82288,50,9.96782
66.120663,50,10.094731
-70.366285,50,10.217125
24.866403,50,10.379591
-68.323494,50,10.545121
174.0387,50,10.663103
-54.110453,50,10.82025
163.844967,50,10.972265
53.301698,50,11.171282
-41.849638,50,11.289937
120.806698,50,11.465507
123.530932,50,11.581905
211.279799,50,11.739933
-47.610798,50,11.906844
225.539587,50,12.116474
122.376587,50,12.253214
126.418773,50,12.376356
140.08891,50,12.487387
-89.502278,50,12.646167
-2.386528,50,12.785031
108.644796,50,12.899016
139.327406,50,13.008478
117.017889,50,13.110403
-120.817564,50,13.213929
135.120722,50,13.334778
219.198053,50,13.545718
84.526705,50,13.683864
31.285462,50,13.803738
57.904815,50,13.929684
122.099851,50,14.04625
162.512697,50,14.123685
108.034021,50,14.187399
153.002826,50,14.299377
151.341037,50,14.401747
-6.722582,50,14.508021
23.945398,50,14.632163
105.683984,50,14.819045
141.370981,50,14.925189
26.873252,50,15.042058
168.033836,50,15.148077
128.982684,50,15.26018
161.523563,50,15.361153
153.258564,50,15.466707
-14.592111,50,15.568796
184.491498,50,15.680256
160.670452,50,15.785223
147.294901,50,15.889524
205.133127,50,15.994252
215.828799,50,16.126825
106.285181,50,16.246244
93.036168,50,16.374059
38.804185,50,16.493463
-134.669884,47,16.605206
114.846873,50,16.704506
114.830794,50,16.810943
178.577721,50,16.913676
92.318745,50,17.026678
-55.646691,50,17.143564
30.287499,50,17.260237
49.213646,50,17.386259
114.19572,50,17.517777
147.537349,50,17.626853
182.214457,50,17.736006
87.941673,50,17.920328
61.746905,50,18.039225
97.084168,50,18.146637
131.485371,50,18.251076
-26.981123,50,18.364245
141.622197,50,18.473915
159.70761,50,18.578287
162.9157,50,18.679904
-112.183442,50,18.782114
198.034706,50,18.929404
150.333747,50,19.032101
121.823235,50,19.147432
125.3346,50,19.251136
115.461956,50,19.371692
160.449809,50,19.474274
32.280831,50,19.583638
67.441537,50,19.708568
102.164089,50,19.832023
114.270102,50,19.947742
98.978104,50,20.051991
169.219196,50,20.153333
126.052776,50,20.272646
57.632603,50,20.376427
158.310595,50,20.475964
154.436409,50,20.577666
49.748471,50,20.687453
171.308021,50,20.788087
115.75614,50,20.901982
123.690145,50,21.000193
91.420537,50,21.120379
147.019711,50,21.229583
117.268466,50,21.343272
189.394207,50,21.446182
112.815412,50,21.570327
82.478541,50,21.695336
174.33655,50,21.811621
105.246525,50,21.923015
51.27998,50,22.037394
-1.364727,50,22.148138
189.586861,50,22.255027
80.585745,50,22.357539
89.630683,50,22.462857
85.865944,50,22.560662
81.695479,50,22.667743
-16.491933,50,22.769471
160.034575,50,22.886024
94.028045,50,23.005993
-15.536445,50,23.123721
52.596117,50,23.231695
140.075197,50,23.34561
109.1333,50,23.466725
58.35153,50,23.70626
88.615531,50,23.885408
85.607157,50,24.067088
44.994247,50,24.235936
79.156736,50,24.402438
148.8062,50,24.506468
95.280545,50,24.633226
146.532992,50,24.740893
22.780669,50,24.846023
89.245889,50,24.984101
141.579779,50,25.198656
