#{"t_start": 1785498071.6422646, "env_id": "DriverFatigue-v0"}
r,l,t
110.095719,50,0.065399
170.38019,50,0.085638
129.781003,50,0.214713
166.873188,50,0.31355
179.849902,50,0.419716
213.4205,50,0.524539
167.754479,50,0.648099
161.546363,50,0.736669
178.742405,50,0.851608
170.18807,50,0.954218
139.24452,50,1.044264
186.509295,50,1.157628
104.573092,50,1.255593
151.902216,50,1.348391
130.446707,50,1.456289
152.55306,50,1.549074
189.779325,50,1.654368
129.865777,50,1.738161
148.326807,50,1.827154
194.150211,50,1.922489
193.294469,50,2.013623
155.003203,50,2.226549
140.646579,50,2.372573
238.437857,50,2.468757
158.332649,50,2.589153
149.737603,50,2.676681
176.250002,50,2.816544
168.600276,50,2.926887
153.835775,50,3.026762
160.793678,50,3.145822
177.338789,50,3.227394
235.737185,50,3.327039
240.087199,50,3.422095
247.178071,50,3.508332
191.543593,50,3.615773
204.516382,50,3.705122
147.790163,50,3.822025
162.67591,50,3.929671
204.401192,50,4.023301
263.1313,50,4.142223
235.833222,50,4.229365
236.932602,50,4.392396
225.59514,50,4.514117
224.657385,50,4.628003
201.83484,50,4.746331
235.912427,50,4.886
231.160707,50,4.998134
161.733894,50,5.124643
214.934646,50,5.251181
206.754369,50,5.361476
261.649082,50,5.476477
186.175072,50,5.620625
161.735748,50,5.750008
227.498098,50,5.878578
229.046589,50,6.003394
257.941656,50,6.132217
221.451858,50,6.254266
235.764289,50,6.379529
205.941858,50,6.490676
224.255803,50,6.595805
181.878603,50,6.723683
175.984553,50,6.850403
199.499065,50,6.975854
260.980351,50,7.104337
215.154262,50,7.240099
200.435129,50,7.327284
255.176499,50,7.421261
215.835761,50,7.524574
251.483454,50,7.626386
172.021871,50,7.722388
225.303742,50,7.849198
192.107104,50,7.956207
204.099208,50,8.063885
284.043653,50,8.172759
312.184996,50,8.288405
217.151952,50,8.438107
184.673441,50,8.554282
171.753019,50,8.669188
246.105289,50,8.78561
192.904002,50,8.910887
266.569459,50,9.024298
222.480346,50,9.136701
248.633691,50,9.245813
256.952249,50,9.371039
172.067567,50,9.507221
243.819345,50,9.632518
274.694872,50,9.762829
240.875854,50,9.886142
241.638529,50,10.020274
233.360623,50,10.145675
218.329531,50,10.253843
185.76464,50,10.351708
211.31892,50,10.453505
300.245452,50,10.596101
278.067472,50,10.746332
224.747763,50,10.8677
279.16645,50,11.022669
292.334595,50,11.178482
216.933595,50,11.303339
254.744818,50,11.419454
213.528546,50,11.552649
312.448066,50,11.686721
235.654789,50,11.799157
232.608882,50,11.899112
217.042368,50,12.008315
290.000027,50,12.105005
227.345517,50,12.207861
27.21144,50,12.319965
232.889362,50,12.495989
172.223903,50,12.625004
200.544076,50,12.74378
249.304055,50,12.872585
224.690183,50,13.000195
211.358195,50,13.1023
210.951362,50,13.21958
182.721542,50,13.348191
260.19526,50,13.472599
149.938661,50,13.577694
258.056458,50,13.704601
278.634078,50,13.858107
272.934643,50,13.990744
243.898536,50,14.207983
280.425217,50,14.340999
224.004838,50,14.474222
209.778118,50,14.609209
205.622643,50,14.730188
150.612032,50,14.865171
205.022924,50,14.988046
293.409343,50,15.116964
219.0718,50,15.247596
73.944995,50,15.401007
231.060237,50,15.543938
82.212145,50,15.680568
130.563588,50,15.771882
47.665825,50,15.888084
286.726411,50,15.980085
126.113373,50,16.124966
158.781243,50,16.246022
237.588553,50,16.37585
110.55161,50,16.503801
51.110054,50,16.648039
313.667152,50,16.778595
232.914444,50,16.923573
106.059254,50,17.046157
106.071971,50,17.197043
136.317242,50,17.305608
239.892417,50,17.427279
141.693462,50,17.526775
154.62959,50,17.666093
164.775176,50,17.804296
158.924686,50,17.948928
200.628393,50,18.123649
206.229998,50,18.263725
183.205808,50,18.367493
229.458068,50,18.477906
305.590345,50,18.606841
215.349486,50,18.743175
