#{"t_start": 1785487719.478938, "env_id": "DriverFatigue-v0"}
r,l,t
110.095719,50,0.058211
170.38019,50,0.072729
139.103811,50,0.320194
167.695441,50,0.538794
161.900054,50,0.711945
213.653766,50,0.862094
182.790939,50,0.984215
169.485271,50,1.133627
180.335617,50,1.26363
175.10047,50,1.369251
138.071793,50,1.489297
192.922449,50,1.584359
120.593668,50,1.700276
145.765627,50,1.794315
141.346075,50,1.895995
131.229387,50,1.997059
188.475001,50,2.117513
168.877558,50,2.222267
164.062863,50,2.333264
245.286345,50,2.438383
188.852501,50,2.548645
179.270395,50,2.664334
190.973932,50,2.76607
191.863936,50,2.872355
172.158926,50,3.012329
214.387184,50,3.184432
116.519826,50,3.348766
151.553937,50,3.456587
151.501916,50,3.581721
202.60469,50,3.682159
228.890014,50,3.814196
142.318237,50,3.999214
265.536248,50,4.147397
262.212006,50,4.290939
177.563666,50,4.403345
234.290787,50,4.51733
208.912414,50,4.651479
165.084173,50,4.75336
138.751338,50,4.904444
213.554322,50,5.099191
201.259328,50,5.274443
179.481717,50,5.412218
251.972304,50,5.543671
277.920105,50,5.655853
209.184383,50,5.780143
246.325665,50,5.891178
195.127815,50,6.015265
229.414921,50,6.124962
195.856894,50,6.33222
146.247924,50,6.459399
261.908331,50,6.564241
255.612508,50,6.731556
182.188296,50,6.965367
236.287081,50,7.123712
221.871371,50,7.245392
186.575033,50,7.350367
276.077877,50,7.478661
210.119754,50,7.590533
261.753943,50,7.708255
200.88367,50,7.814346
215.688897,50,7.952748
183.380673,50,8.063437
194.21313,50,8.179296
194.610607,50,8.300177
237.611906,50,8.460437
241.80868,50,8.580276
248.248919,50,8.703155
190.626889,50,8.824795
199.558596,50,8.962485
203.964005,50,9.072753
217.961223,50,9.19846
242.615078,50,9.308018
208.607744,50,9.440197
211.192702,50,9.568382
245.142779,50,9.684362
173.281363,50,9.806395
217.338144,50,9.940314
220.665274,50,10.057677
246.01091,50,10.241955
238.063432,50,10.415478
215.396624,50,10.57753
208.419695,50,10.723892
116.364752,50,10.945163
218.076165,50,11.141182
238.025071,50,11.302292
219.405429,50,11.418597
266.141935,50,11.548791
242.557364,50,11.660243
203.952681,50,11.781702
230.184316,50,11.894315
218.507644,50,12.020529
190.688689,50,12.151311
239.481184,50,12.284269
215.790059,50,12.3935
246.967265,50,12.516515
225.46537,50,12.642406
255.609228,50,12.774562
226.455873,50,12.899278
251.598311,50,13.021004
263.823879,50,13.146595
272.283345,50,13.288388
234.583392,50,13.443904
119.186677,50,13.653291
237.597149,50,13.81615
237.081018,50,13.95475
283.832253,50,14.078509
210.430042,50,14.208416
138.648637,50,14.320044
259.757169,50,14.445766
273.029732,50,14.596669
232.491831,50,14.841406
219.396286,50,15.02455
213.813037,50,15.206957
218.877205,50,15.347346
220.169106,50,15.540888
280.460511,50,15.690514
186.281732,50,15.831073
190.236664,50,15.955417
241.556983,50,16.083239
203.401359,50,16.205481
194.576528,50,16.332602
302.551679,50,16.461468
251.492766,50,16.58728
238.933382,50,16.735438
244.24756,50,17.089061
177.433219,50,17.265502
177.82374,50,17.405336
238.173892,50,17.522398
210.320037,50,17.716407
223.021159,50,17.924398
191.964218,50,18.104697
208.170059,50,18.227475
204.185699,50,18.351925
253.969584,50,18.47088
161.595614,50,18.587614
262.962893,50,18.712833
260.960886,50,18.841306
214.601909,50,18.971029
246.743152,50,19.09734
134.57709,50,19.25347
197.188101,50,19.458429
287.092379,50,19.672543
194.41895,50,19.852584
184.567318,50,20.018172
264.913157,50,20.159559
245.115454,50,20.284542
196.258315,50,20.416529
182.415823,50,20.542433
124.706731,50,20.680002
-42.564178,50,20.833439
136.50242,50,21.056577
193.345487,50,21.241992
163.53048,50,21.409969
85.240242,50,21.543327
248.895459,50,21.693402
300.320243,50,21.824841
169.541879,50,21.974341
108.284349,50,22.125602
158.589707,50,22.266499
286.378591,50,22.391323
137.155132,50,22.617585
103.568743,50,22.803644
225.841098,50,22.993941
100.7956,50,23.231792
164.675311,50,23.365948
134.923281,50,23.547377
136.081405,50,23.794379
130.972499,50,23.978265
77.026044,50,24.121474
189.983367,50,24.232083
214.527052,50,24.349258
143.13409,50,24.457606
98.259101,50,24.568663
217.143938,50,24.666744
169.398735,50,24.774635
126.866253,50,24.871642
47.700467,50,25.01247
134.563152,50,25.128874
174.144092,50,25.262391
51.903358,50,25.406593
1.892554,50,25.563514
64.675012,50,25.688852
95.050306,50,25.816499
-7.918856,50,25.969993
10.651165,50,26.123337
129.696072,50,26.278537
-52.527937,50,26.41522
64.906916,50,26.536804
136.346095,50,26.659978
210.024384,50,26.924631
46.135573,50,27.18122
64.937699,50,27.376673
-57.734653,50,27.546069
121.471161,50,27.702234
45.386116,50,27.836742
197.734713,50,28.01331
28.365436,50,28.169375
80.639265,50,28.318594
-93.230163,50,28.481067
-8.128526,50,28.624439
71.042377,50,28.778981
120.93217,50,28.92775
155.196611,50,29.092302
173.970337,50,29.324229
156.90257,50,29.736851
214.570226,50,29.930699
163.340635,50,30.111247
195.130059,50,30.242069
254.379672,50,30.407592
146.781682,50,30.542616
276.684782,50,30.701926
281.176951,50,30.845817
128.818269,50,30.999099
244.213196,50,31.132009
250.704494,50,31.276681
220.7751,50,31.415318
196.746882,50,31.569965
198.312563,50,31.714823
240.780269,50,31.869087
249.355135,50,32.033378
251.804185,50,32.188526
231.323351,50,32.363244
238.348793,50,32.601245
215.514563,50,32.757673
145.411843,50,32.912203
227.608594,50,33.040195
259.696837,50,33.177305
251.40572,50,33.308951
170.2218,50,33.450961
192.395414,50,33.598372
210.744088,50,33.743598
234.730479,50,33.925585
209.581983,50,34.118435
241.059341,50,34.252661
195.943469,50,34.400836
195.447332,50,34.548681
187.72026,50,34.716521
182.280922,50,34.867051
194.478229,50,35.004585
216.199595,50,35.151969
208.553705,50,35.30822
212.531344,50,35.451375
211.92413,50,35.588431
197.98715,50,35.730058
264.73391,50,35.869418
222.516727,50,36.030501
105.10633,50,36.200268
142.299648,50,36.359273
192.823565,50,36.509305
193.944236,50,36.710276
200.475718,50,36.92894
251.923881,50,37.088542
227.64571,50,37.240354
243.500772,50,37.381205
186.042518,50,37.507041
246.695661,50,37.713366
226.342237,50,37.924705
250.578319,50,38.111373
118.274242,50,38.259984
218.529434,50,38.435805
225.368306,50,38.597475
255.821377,50,38.731906
190.263336,50,38.86592
204.261631,50,39.000055
221.68112,50,39.141541
217.738334,50,39.273613
231.295963,50,39.421386
173.181944,50,39.571043
269.022553,50,39.811704
266.298376,50,40.005566
232.36368,50,40.178261
238.002498,50,40.320745
238.061217,50,40.461143
193.133166,50,40.640082
213.981809,50,40.814268
180.960827,50,40.973421
203.649865,50,41.139262
147.94866,50,41.372447
198.321609,50,41.502082
169.847585,50,41.65561
211.320469,50,41.792034
219.925648,50,42.028139
263.134727,50,42.253627
264.311664,50,42.410889
202.172946,50,42.566634
250.878357,50,42.711921
200.22992,50,42.867617
220.993076,50,43.024708
252.795238,50,43.169032
209.139289,50,43.309062
278.945989,50,43.435454
147.221821,50,43.573378
277.808063,50,43.722205
250.259068,50,43.862563
220.607108,50,44.017617
254.97006,50,44.164358
262.365943,50,44.315329
243.085036,50,44.443733
241.225071,50,44.580529
297.372668,50,44.734627
220.299046,50,44.898858
174.037178,50,45.057384
223.035293,50,45.2077
