#{"t_start": 1785486978.497656, "env_id": "DriverFatigue-v0"}
r,l,t
110.095719,50,0.110736
170.38019,50,0.13379
129.77137,50,0.269802
170.061872,50,0.368713
172.780433,50,0.460165
189.833754,50,0.533786
144.057271,50,0.618892
148.929876,50,0.691342
165.755602,50,0.779705
127.587131,50,0.844324
141.814611,50,0.926792
162.316344,50,1.010408
136.929872,50,1.097593
157.394822,50,1.187207
139.074834,50,1.273901
164.360754,50,1.346052
212.219132,50,1.442187
188.315379,50,1.528613
132.189913,50,1.605359
242.222344,50,1.692444
245.226616,50,1.793635
217.185524,50,1.873528
186.573671,50,1.980808
171.146414,50,2.063132
187.321469,50,2.160801
226.35632,50,2.249826
197.705669,50,2.339113
193.298825,50,2.413507
203.135516,50,2.526517
231.78245,50,2.626204
232.086206,50,2.74634
158.218663,50,2.847935
258.644787,50,2.940653
213.922754,50,3.042724
188.335262,50,3.166626
260.95947,50,3.300977
190.689437,50,3.440567
233.662352,50,3.676863
255.570236,50,3.784089
258.574405,50,3.883602
242.647228,50,3.981682
213.074852,50,4.061322
222.041093,50,4.214355
248.070895,50,4.407035
257.510329,50,4.654073
231.238783,50,4.853389
160.4517,50,5.139633
286.775253,50,5.390324
257.546197,50,5.629863
146.33219,50,5.909901
265.66952,50,6.156126
218.476602,50,6.409622
242.60798,50,6.672101
253.499547,50,6.920913
262.488976,50,7.244993
37.040465,50,7.494997
291.6234,50,7.758578
243.611264,50,7.977461
236.147122,50,8.186258
169.543449,50,8.302032
159.122266,50,8.42176
257.007414,50,8.526488
196.583806,50,8.626812
207.18505,50,8.729743
287.69663,50,8.837734
317.625144,50,8.923187
278.688861,50,9.02974
78.091141,50,9.1177
261.212915,50,9.205484
187.097003,50,9.325791
78.951055,50,9.440767
-216.028373,50,9.560165
197.44795,50,9.752533
211.786478,50,9.900199
175.315545,50,10.018203
132.493764,50,10.134187
195.23548,50,10.271173
78.036597,50,10.378489
25.732097,50,10.486298
125.291777,50,10.577296
4.465543,50,10.680856
103.058609,50,10.776121
-21.043737,50,10.871627
47.756733,50,11.024797
140.046742,50,11.21821
179.179342,50,11.343055
-84.643352,50,11.448184
-50.910296,50,11.632223
-39.235848,50,11.783949
146.223642,50,11.884631
-297.5989,50,11.985096
-95.626538,50,12.073193
-165.3687,50,12.176696
-53.584043,50,12.271399
-309.99782,41,12.352953
-214.680829,50,12.472983
14.225409,50,12.592803
-105.163588,50,12.716677
12.510874,50,12.891956
163.655097,50,13.023754
-5.6445,50,13.183817
-471.39901,44,13.277404
-299.422672,46,13.37176
-285.918604,49,13.466795
-298.277434,50,13.568533
-507.900864,50,13.668417
-265.198019,50,13.790643
139.861453,50,13.9521
8.759003,50,14.178102
-184.956445,50,14.463894
-160.945315,50,14.742962
-190.503702,50,14.938108
-64.652019,50,15.134954
-112.852897,50,15.27713
-129.536532,50,15.460374
-290.99932,50,15.692211
-175.8311,50,15.845354
-201.489473,50,15.971364
-4.616982,50,16.105645
-81.500506,50,16.229815
-17.016068,50,16.368293
-178.015911,50,16.485074
-101.947015,50,16.61619
-444.909987,46,16.759923
-289.353021,46,16.891845
-205.440975,50,17.003338
-378.039914,50,17.119011
-218.990124,50,17.226863
-114.710546,50,17.347015
-85.620306,50,17.506191
-305.537418,39,17.624108
-639.696033,50,17.766271
-29.203094,50,17.899684
84.374146,50,18.099983
-138.72166,50,18.332979
-145.691729,50,18.490227
-168.66507,50,18.69727
151.736362,50,18.947157
-85.436046,50,19.21706
102.187332,50,19.404051
-212.709254,50,19.68746
24.096776,50,19.910488
-257.228733,49,20.060538
157.389221,50,20.24043
-206.002466,50,20.425942
-212.395893,50,20.568412
-138.969453,50,20.743407
13.669744,50,20.900797
115.20772,50,21.047168
62.493474,50,21.191327
55.427409,50,21.348225
-145.313087,50,21.484539
63.659775,50,21.625974
159.060212,50,21.747423
95.98368,50,21.893931
115.290117,50,22.049659
77.12829,50,22.2054
137.958744,50,22.326147
89.608612,50,22.484614
147.748175,50,22.604083
216.08934,50,22.807094
-100.348645,50,22.94556
-111.72466,50,23.198165
-203.506312,50,23.415415
-18.593721,50,23.613268
98.693778,50,23.758233
123.518867,50,23.89154
6.188502,50,23.990068
119.372728,50,24.130049
33.817888,50,24.254201
-50.672116,50,24.363
-55.858663,50,24.469752
169.401427,50,24.576151
-76.251939,50,24.681977
-43.981389,50,24.78525
-214.259818,50,24.892383
91.795115,50,24.999123
-19.80532,50,25.101979
191.364878,50,25.232103
-168.332,50,25.347919
-110.77492,50,25.478369
-134.022528,50,25.587127
-12.836444,50,25.714173
162.001455,50,25.824154
18.646481,50,25.954204
