#{"t_start": 1785497618.250015, "env_id": "DriverFatigue-v0"}
r,l,t
110.095719,50,0.030039
170.38019,50,0.042284
129.781003,50,0.12237
160.449676,50,0.19325
173.008991,50,0.272156
216.920579,50,0.354994
176.712951,50,0.431395
162.524834,50,0.499425
195.439594,50,0.619042
171.548637,50,0.693675
120.257675,50,0.76552
188.888255,50,0.846924
112.482371,50,0.930457
164.447984,50,1.004621
118.199916,50,1.090382
188.230675,50,1.167868
159.02844,50,1.250765
164.768797,50,1.333024
145.860137,50,1.414779
205.476674,50,1.491894
230.996965,50,1.580645
152.18989,50,1.659286
207.26448,50,1.743369
180.592194,50,1.8119
157.64972,50,1.90158
225.877759,50,1.979109
136.955829,50,2.068182
174.969252,50,2.146321
165.109333,50,2.22971
198.543561,50,2.303679
184.073564,50,2.389082
242.235404,50,2.468679
241.903236,50,2.559669
270.055203,50,2.649731
287.806321,50,2.729691
184.267664,50,2.802089
207.928431,50,2.896265
231.470578,50,2.974467
207.460303,50,3.046545
161.632567,50,3.133684
198.949238,50,3.224686
253.171369,50,3.300707
207.010901,50,3.382758
267.990595,50,3.456585
262.093235,50,3.540526
238.091126,50,3.623439
185.121754,50,3.711067
259.673925,50,3.785246
230.256927,50,3.880914
245.106734,50,3.961003
197.41808,50,4.047968
138.844996,50,4.120096
188.082399,50,4.216328
218.480824,50,4.300495
254.004242,50,4.387374
106.268701,50,4.474413
228.778646,50,4.562924
219.081506,50,4.643936
204.332541,50,4.737986
241.163843,50,4.822465
217.494371,50,4.906432
248.475961,50,4.990462
240.897034,50,5.080971
245.1626,50,5.161742
229.881363,50,5.261529
184.492056,50,5.344471
211.434241,50,5.434408
232.062549,50,5.522461
270.122933,50,5.603848
191.405009,50,5.701535
146.15796,50,5.788806
157.211513,50,5.882903
236.263388,50,5.98825
266.041151,50,6.076169
262.704357,50,6.169157
244.665968,50,6.254047
240.835958,50,6.354994
275.724318,50,6.443004
272.799017,50,6.540732
247.750097,50,6.631886
240.674453,50,6.721694
229.056304,50,6.82697
201.414519,50,6.921633
216.0205,50,7.01737
157.951615,50,7.106861
254.918063,50,7.197788
235.985406,50,7.305438
200.127809,50,7.388193
159.176171,50,7.488402
267.295424,50,7.572153
245.546782,50,7.675933
102.944596,50,7.776347
222.4184,50,7.874932
-10.889859,50,7.963904
278.664705,50,8.073227
134.443291,50,8.165037
160.731045,50,8.274409
319.913753,50,8.417306
151.790916,50,8.520279
231.279115,50,8.604038
259.562355,50,8.709489
285.094433,50,8.799894
179.841202,50,8.887986
232.016475,50,8.978875
209.044612,50,9.088684
117.979008,50,9.18374
269.570757,50,9.28878
199.807445,50,9.369709
267.473164,50,9.462801
135.734186,50,9.571919
216.810343,50,9.669901
163.47586,50,9.766553
203.834042,50,9.871605
195.015953,50,9.965856
209.101192,50,10.074782
224.704349,50,10.166854
237.676369,50,10.282336
122.998536,50,10.366146
195.31632,50,10.466095
257.37237,50,10.557592
139.770575,50,10.666111
242.53813,50,10.759593
248.849888,50,10.861382
173.113419,50,10.957642
196.771066,50,11.050426
149.526309,50,11.150542
165.54079,50,11.249805
-147.547623,50,11.350986
192.489023,50,11.449935
128.255991,50,11.552921
97.105536,50,11.652076
153.177441,50,11.749455
112.525046,50,11.849477
128.453523,50,11.950991
204.173576,50,12.053167
162.400821,50,12.161428
113.861354,50,12.25906
-6.807449,50,12.367162
