#{"t_start": 1785497515.7980468, "env_id": "DriverFatigue-v0"}
r,l,t
110.095719,50,0.027062
170.38019,50,0.037063
112.105575,50,0.108069
174.764791,50,0.186123
157.998068,50,0.268677
205.55139,50,0.345687
124.308891,50,0.420288
126.807557,50,0.496887
158.687355,50,0.602357
159.191518,50,0.674516
173.994889,50,0.751249
225.028823,50,0.827666
203.701322,50,0.924729
144.754107,50,1.002984
177.344934,50,1.087827
194.30494,50,1.163421
189.936918,50,1.25578
243.725656,50,1.342514
227.315047,50,1.425573
239.040491,50,1.491105
220.363194,50,1.573221
202.48633,50,1.662336
179.906939,50,1.751638
256.810574,50,1.82752
124.994548,50,1.926632
217.253836,50,2.011019
281.134333,50,2.091106
183.89995,50,2.171213
289.533739,50,2.263882
263.059382,50,2.34853
276.175772,50,2.441329
235.60275,50,2.529102
298.981918,50,2.626603
292.349105,50,2.721931
321.050099,50,2.8134
138.667646,50,2.893527
132.879855,50,2.99929
187.902478,50,3.08668
280.982458,50,3.180664
99.11336,50,3.275588
163.847107,50,3.374982
197.049424,50,3.463685
251.814548,50,3.561301
-112.842441,44,3.635963
-58.611128,50,3.736682
35.405645,50,3.841841
97.719037,50,3.927336
-390.015563,43,4.003581
153.012029,50,4.113609
-469.85012,37,4.182493
-460.711868,34,4.253253
59.821388,50,4.355247
-223.221169,50,4.454672
5.906708,50,4.561775
-262.847025,50,4.659272
-81.292789,50,4.754565
-310.990589,50,4.861276
24.120922,50,4.962606
-68.446207,50,5.046136
-204.643711,50,5.145395
-20.821814,50,5.249357
-122.673213,50,5.348325
-67.717529,50,5.440268
-170.607103,50,5.53999
-394.104475,34,5.610806
-193.982372,50,5.715155
-222.723569,50,5.806837
-90.962507,50,5.91238
155.524189,50,6.011528
41.699544,50,6.103274
-236.407021,50,6.191669
-7.360526,50,6.291968
35.372917,50,6.393305
-58.282382,50,6.497759
98.968424,50,6.591638
147.759063,50,6.693291
40.601257,50,6.799375
36.432581,50,6.896246
-78.98556,50,6.99387
-68.022064,50,7.098054
54.852157,50,7.194362
-55.171154,50,7.294488
-183.738533,50,7.387886
74.978474,50,7.485554
-60.315106,50,7.59129
-52.013649,50,7.68631
110.460261,50,7.790128
-16.098423,50,7.884627
209.472618,50,7.984425
-45.7312,50,8.160874
189.114707,50,8.269985
-39.390118,50,8.377827
-112.683652,50,8.480996
21.199938,50,8.585677
-117.389596,50,8.679991
-161.730052,50,8.774358
-99.521405,50,8.886317
34.419328,50,8.978102
150.691948,50,9.071877
-171.741365,50,9.175662
131.750391,50,9.276463
-70.36906,50,9.382964
-213.171312,50,9.471692
102.401315,50,9.576007
-54.91089,50,9.683151
43.139179,50,9.778975
119.081544,50,9.873057
67.042344,50,9.971371
21.565197,50,10.076357
27.917761,50,10.179366
-212.385541,50,10.270891
21.73301,50,10.383176
-88.639268,50,10.481696
-131.186407,50,10.579321
-4.119803,50,10.676069
-18.257101,50,10.777816
-132.655228,50,10.880855
-13.286054,50,10.979583
-137.153561,50,11.070981
-177.16767,50,11.176633
34.424575,50,11.274929
-139.710125,50,11.38049
97.839164,50,11.47528
17.873724,50,11.567552
83.480602,50,11.670558
-67.095551,50,11.77222
-62.633149,50,11.867652
-29.96843,50,11.969894
8.007174,50,12.071767
-111.573519,50,12.18011
-21.158398,50,12.273225
-119.526493,50,12.383109
-10.715206,50,12.490839
-80.770298,50,12.587176
143.924928,50,12.683214
131.57666,50,12.78307
12.161926,50,12.886554
-24.757443,50,12.988406
5.833638,50,13.084486
28.2262,50,13.187397
-60.841158,50,13.28571
90.195837,50,13.376598
141.700365,50,13.4807
109.108783,50,13.577136
165.692989,50,13.682714
-134.390056,50,13.784091
134.510969,50,13.872779
9.235003,50,13.980839
51.620297,50,14.078122
-60.262138,50,14.18504
167.614896,50,14.282717
78.347727,50,14.376088
160.1323,50,14.490293
73.394352,50,14.587077
44.135668,50,14.689322
19.262867,50,14.792338
56.062487,50,14.886173
100.275393,50,14.991541
159.678973,50,15.08598
35.57506,50,15.179971
122.463478,50,15.28691
-210.082063,50,15.38538
148.615631,50,15.487922
118.048914,50,15.592738
62.348515,50,15.695738
4.841033,50,15.796327
62.878082,50,15.887839
108.954671,50,16.000288
13.726214,50,16.099845
180.309952,50,16.197389
86.417461,50,16.296208
-30.454665,50,16.399748
162.121794,50,16.507019
0.821174,50,16.60855
94.636004,50,16.704792
105.498999,50,16.80931
258.87421,50,16.908584
-58.682389,50,17.005622
-5.137645,50,17.095462
170.231071,50,17.194976
102.020262,50,17.303994
61.577477,50,17.398395
-78.814422,50,17.498811
109.786129,50,17.600883
116.722486,50,17.70715
123.418243,50,17.804297
-63.031852,50,17.898195
74.59395,50,18.008944
139.091983,50,18.108402
150.324146,50,18.210179
-49.372211,50,18.307848
117.951372,50,18.406897
60.400243,50,18.510226
-225.977787,50,18.610042
71.002794,50,18.70638
2.790932,50,18.806089
41.86059,50,18.90528
108.675959,50,19.008457
96.833343,50,19.105078
227.845924,50,19.199332
85.3066,50,19.314637
179.768191,50,19.412961
245.741648,50,19.506064
290.111469,50,19.616446
175.52395,50,19.714947
246.392793,50,19.815111
243.196051,50,19.912671
228.755601,50,20.021662
251.373446,50,20.124012
204.341462,50,20.222281
252.895947,50,20.321088
211.084208,50,20.425185
219.346243,50,20.518401
285.06713,50,20.621116
287.918859,50,20.722138
118.203783,50,20.819581
220.083941,50,20.926676
198.377178,50,21.026632
186.434297,50,21.122364
196.089566,50,21.222399
229.92193,50,21.320087
227.610353,50,21.412052
210.505821,50,21.511452
224.267529,50,21.602346
155.790623,50,21.709482
168.78052,50,21.894319
176.002213,50,21.989316
273.255223,50,22.094626
198.138183,50,22.189763
221.308966,50,22.290253
115.805717,50,22.389863
241.446088,50,22.48365
240.343596,50,22.589303
182.935614,50,22.682288
251.077165,50,22.779922
189.842135,50,22.886617
216.891454,50,22.982132
245.506119,50,23.093468
201.333948,50,23.185954
299.702034,50,23.287732
177.411821,50,23.392619
184.290422,50,23.494976
226.736978,50,23.586773
261.611404,50,23.684294
233.003111,50,23.785332
215.013033,50,23.887778
243.773244,50,23.982682
143.081599,50,24.075898
225.978625,50,24.177152
161.559155,50,24.27898
173.09078,50,24.370236
257.234962,50,24.476587
284.149647,50,24.573221
169.419453,50,24.674575
251.986372,50,24.774065
199.114014,50,24.871103
240.12963,50,24.978916
210.779773,50,25.076526
275.38516,50,25.167202
225.995619,50,25.28002
169.548468,50,25.382307
227.763476,50,25.487777
224.595733,50,25.59169
237.925441,50,25.693936
227.479198,50,25.79858
261.98173,50,25.897253
209.611348,50,25.990088
237.707697,50,26.098586
178.610476,50,26.200164
230.601769,50,26.307166
248.39553,50,26.407182
214.073445,50,26.512932
156.881517,50,26.627112
237.118548,50,26.732238
231.905613,50,26.827182
233.765121,50,26.939246
158.902617,50,27.041346
274.308777,50,27.145925
251.38623,50,27.244599
222.427528,50,27.343287
168.316327,50,27.451191
267.213567,50,27.556026
