#{"t_start": 1785501407.575041, "env_id": "DriverFatigue-v0"}
r,l,t
100.039002,50,0.095002
199.565468,50,0.155828
218.103098,50,0.270409
164.611821,50,0.372957
210.462259,50,0.453677
215.291903,50,0.513164
241.563492,50,0.618006
252.500226,50,0.689159
195.147798,50,0.757085
139.039293,50,0.862894
258.448241,50,0.987481
269.797547,50,1.088158
248.965944,50,1.201041
245.329089,50,1.313329
150.645989,50,1.367231
234.167649,50,1.455876
194.796513,50,1.563008
264.635912,50,1.647835
270.525671,50,1.736349
260.570819,50,1.839888
241.840353,50,1.952977
261.776273,50,2.041124
214.684319,50,2.161349
230.810019,50,2.23383
271.198883,50,2.344213
166.426191,50,2.407205
258.892297,50,2.485243
53.209514,50,2.594812
168.751248,50,2.651646
196.190221,50,2.736369
269.361246,50,2.839747
233.277295,50,2.879414
281.862447,50,3.003591
261.957294,50,3.083753
281.959775,50,3.177515
254.609222,50,3.283166
200.285358,50,3.340627
157.338974,50,3.456651
250.776095,50,3.538368
74.385852,50,3.619004
235.323535,50,3.738441
109.329061,50,3.798651
280.363478,50,3.867667
218.453331,50,3.983936
188.683792,50,4.081446
110.095536,50,4.173263
263.674139,50,4.233841
238.581182,50,4.313561
212.935748,50,4.425461
56.483144,50,4.532866
236.814381,50,4.644374
188.959568,50,4.743322
250.31742,50,4.835295
93.379875,50,4.94169
155.251695,50,5.04123
200.131241,50,5.151019
255.17036,50,5.253471
106.327269,50,5.362873
252.734511,50,5.468356
280.353308,50,5.539681
171.467597,50,5.647745
214.305497,50,5.738639
279.271668,50,5.800296
33.763568,50,5.877922
225.107475,50,5.966833
134.044172,50,6.090176
275.209895,50,6.182286
228.630154,50,6.245502
23.961462,50,6.33214
52.778492,50,6.436546
-43.75266,50,6.555422
122.801531,50,6.651682
182.948338,50,6.759168
168.573592,50,6.863506
170.258686,50,6.967649
-97.689457,50,7.063464
-57.811475,50,7.167608
189.398703,50,7.2739
177.603341,50,7.413836
224.594063,50,7.531865
-19.377972,50,7.644166
164.311073,50,7.75517
-27.458677,50,7.836732
194.755368,50,7.943296
202.057094,50,8.029301
95.902735,50,8.136252
297.284892,50,8.231767
189.176528,50,8.322503
303.467927,50,8.430768
259.617666,50,8.536347
74.196138,50,8.647
186.926116,50,8.746818
192.645483,50,8.846706
259.206766,50,8.950788
280.992942,50,9.03055
53.848627,50,9.093278
193.919977,50,9.191231
186.116074,50,9.304379
70.054642,50,9.413516
275.543908,50,9.502782
189.751953,50,9.629242
192.657896,50,9.710399
58.641157,50,9.808801
-7.170585,50,9.918006
138.487172,50,9.977611
221.570572,50,10.072608
123.147025,50,10.180208
195.397565,50,10.289357
182.117332,50,10.395455
-144.905972,50,10.473963
127.291021,50,10.579455
134.639596,50,10.693343
98.10352,50,10.798424
138.316895,50,10.900408
211.816904,50,11.013171
-36.545609,50,11.075586
239.859588,50,11.202115
57.528934,50,11.28502
75.581364,50,11.343805
-33.029868,50,11.432572
179.785116,50,11.545726
300.534088,50,11.63118
-126.811139,50,11.708363
252.211265,50,11.824149
118.171326,50,11.933416
106.754631,50,12.041801
-146.646186,50,12.130917
181.039025,50,12.225056
-8.967156,50,12.339859
