#{"t_start": 1785500650.9848635, "env_id": "DriverFatigue-v0"}
r,l,t
189.076519,50,0.130099
234.085642,50,0.217265
173.623926,50,0.305151
151.933829,50,0.403449
-34.248672,50,0.497699
57.19475,50,0.609447
122.273966,50,0.71562
199.964222,50,0.82715
198.742012,50,0.903857
-80.572734,50,1.00894
154.616797,50,1.116024
96.116588,50,1.226027
126.077295,50,1.29496
128.373951,50,1.389104
80.192368,50,1.503604
155.237708,50,1.598217
-89.206147,50,1.659418
39.281317,50,1.721449
46.654428,50,1.827567
102.760083,50,1.947873
-30.737249,50,2.053348
232.736544,50,2.171843
157.672584,50,2.264277
87.044469,50,2.349061
242.081593,50,2.455401
-69.519797,50,2.540678
194.403638,50,2.612648
-123.71269,50,2.717948
84.707829,50,2.814044
131.699442,50,2.890241
268.673743,50,3.008776
70.413133,50,3.132179
273.208566,50,3.213599
213.34003,50,3.272644
229.235043,50,3.373692
233.336204,50,3.455255
181.309334,50,3.516884
144.847456,50,3.581312
-237.857768,50,3.660386
-104.988897,50,3.782601
210.816121,50,3.871476
2.842838,50,3.961231
280.363478,50,4.05724
240.40899,50,4.121081
214.789859,50,4.180556
116.142795,50,4.287074
249.928989,50,4.395089
132.322803,50,4.504433
245.277856,50,4.603372
58.151279,50,4.681922
237.663151,50,4.799093
227.313476,50,4.906118
256.180182,50,5.005128
-67.355821,50,5.115351
148.272987,50,5.205159
105.8271,50,5.280593
155.282714,50,5.37728
161.463367,50,5.472103
235.921191,50,5.563715
237.651069,50,5.657689
-30.167263,50,5.816113
171.631396,50,5.941876
248.347509,50,6.069514
-0.624173,50,6.180862
252.552137,50,6.300471
-32.056548,50,6.383564
284.844336,50,6.504572
235.196241,50,6.601467
-8.781642,50,6.712406
190.73914,50,6.818366
119.40407,50,6.934569
111.626527,50,7.026181
234.64363,50,7.150606
107.055826,50,7.239653
311.567244,50,7.337606
-57.662414,50,7.445531
112.817346,50,7.554903
142.116681,50,7.62579
233.758865,50,7.730979
267.252269,50,7.843513
-49.256183,50,7.971717
173.567741,50,8.057294
-36.09133,50,8.126621
228.189902,50,8.232705
190.287111,50,8.34866
101.837912,50,8.464615
259.072817,50,8.557947
213.365481,50,8.645434
268.325223,50,8.758111
251.653199,50,8.8522
73.907237,50,8.942044
167.572906,50,8.994443
195.245056,50,9.105149
246.800176,50,9.208351
279.925676,50,9.291766
45.450853,50,9.376688
212.213692,50,9.482222
172.639086,50,9.571071
220.414164,50,9.667629
268.434313,50,9.776029
166.537085,50,9.893465
224.283174,50,9.977943
30.768473,50,10.047176
-3.351876,50,10.139757
143.768835,50,10.214786
221.179694,50,10.276868
57.46208,50,10.382676
254.987346,50,10.484033
123.610785,50,10.601844
-195.327412,50,10.684606
200.507475,50,10.795184
194.363544,50,10.853109
204.924059,50,10.945437
129.993279,50,11.056318
133.480637,50,11.121073
-233.872513,50,11.231147
199.252327,50,11.337385
30.414294,50,11.447303
90.290995,50,11.538335
55.938118,50,11.621542
122.897018,50,11.739106
204.414434,50,11.822639
12.967352,50,11.880584
258.7117,50,11.952238
85.210358,50,12.0573
-76.691262,50,12.11367
-211.288693,50,12.199643
143.148827,50,12.299072
-329.947519,50,12.404105
102.753065,50,12.501408
100.52911,50,12.607815
189.771654,50,12.726463
193.288842,50,12.826091
-313.229289,50,12.893061
247.731409,50,12.966362
149.071791,50,13.069101
263.154544,50,13.180106
140.173847,50,13.236321
1.971941,50,13.355382
76.34725,50,13.450705
52.805398,50,13.534819
269.31969,50,13.608712
-56.440247,50,13.711905
210.439815,50,13.809731
116.938621,50,13.89283
138.79695,50,13.976181
213.449258,50,14.039848
10.423874,50,14.1462
100.566964,50,14.240633
72.619478,50,14.353264
230.532066,50,14.438762
195.480754,50,14.500483
44.651076,50,14.606093
132.433666,50,14.689684
148.076517,50,14.80004
185.928809,50,14.911015
-164.945236,50,15.024939
138.337965,50,15.099921
80.436877,50,15.206437
228.522859,50,15.312887
174.552742,50,15.427366
-297.370813,50,15.516557
124.575568,50,15.5732
-241.738197,50,15.675478
125.014745,50,15.783047
-126.862068,50,15.851586
-10.643844,50,15.955847
-66.575524,50,16.039636
39.41788,50,16.113828
218.159907,50,16.178988
303.445263,50,16.280048
140.570711,50,16.384566
51.232224,50,16.486145
237.488936,50,16.59096
169.654227,50,16.690562
-179.413086,50,16.789626
98.884533,50,16.894436
151.395686,50,16.998189
130.465594,50,17.110296
232.167658,50,17.216745
56.451879,50,17.277263
215.401956,50,17.339116
88.868081,50,17.416965
69.923692,50,17.523459
-164.90478,50,17.630219
-80.944017,50,17.718199
143.595347,50,17.834643
225.974216,50,17.935468
195.719311,50,18.052055
287.973584,50,18.16845
-0.4499,50,18.264304
206.744206,50,18.366366
-128.264345,50,18.487429
244.397741,50,18.59658
-118.068626,50,18.665372
56.969509,50,18.777358
190.788095,50,18.847824
21.353897,50,18.912317
124.518432,50,19.007434
-106.963575,50,19.070082
268.932829,50,19.189664
81.664476,50,19.283555
270.257885,50,19.366779
197.594049,50,19.479963
-294.158567,45,19.57084
-30.098239,50,19.674902
135.539516,50,19.778543
226.960075,50,19.859675
101.693714,50,19.926893
252.664448,50,20.001477
246.601717,50,20.111643
162.810153,50,20.234834
100.638166,50,20.325972
-31.972131,50,20.405031
140.783998,50,20.473521
-188.785783,50,20.537168
191.754646,50,20.648453
12.379975,50,20.7595
-141.214357,50,20.883629
-369.705359,50,20.96645
118.419684,50,21.080963
157.292296,50,21.168126
176.646315,50,21.284963
199.530347,50,21.409708
171.501248,50,21.513165
134.28903,50,21.583708
238.293879,50,21.653341
162.032009,50,21.771075
109.578907,50,21.89803
45.761725,50,22.018166
204.234475,50,22.159579
263.334448,50,22.290571
42.74395,50,22.442118
70.436824,50,22.588123
-29.700481,50,22.836473
39.649912,50,22.995039
-14.554448,50,23.098609
121.041816,50,23.240524
137.761199,50,23.327596
266.539391,50,23.461604
80.82848,50,23.593168
-25.879,50,23.709538
243.094068,50,23.819253
221.534387,50,23.883992
42.919768,50,23.991946
130.452161,50,24.084961
-47.555562,50,24.185422
257.406493,50,24.310263
215.767715,50,24.424073
-34.281662,50,24.547128
195.138165,50,24.628822
233.828155,50,24.740051
103.674657,50,24.860748
-155.594142,50,24.947707
181.050092,50,25.050082
151.508838,50,25.167302
65.615335,50,25.291678
227.273844,50,25.383548
209.876006,50,25.511659
203.97408,50,25.587137
135.211693,50,25.66325
192.42829,50,25.780904
281.472602,50,25.856591
-104.373002,50,25.981566
29.496218,50,26.154114
131.685374,50,26.283232
262.411194,50,26.368272
-233.68761,46,26.468155
224.02438,50,26.589721
26.462079,50,26.711923
108.87906,50,26.844081
272.831608,50,26.974342
-113.25005,50,27.076269
198.474589,50,27.185373
151.850536,50,27.255279
183.102906,50,27.336832
198.248443,50,27.453752
-179.370978,50,27.5605
-35.345038,50,27.667989
48.678898,50,27.796962
196.232304,50,27.913621
-140.070899,50,28.053095
55.000643,50,28.143598
226.109407,50,28.207319
278.093023,50,28.279523
236.204781,50,28.398973
147.312423,50,28.531676
-23.869814,50,28.65143
279.873478,50,28.778826
194.817074,50,28.883599
-18.118232,50,29.007888
-110.399856,50,29.114921
58.422098,50,29.22536
74.838092,50,29.316164
-144.863709,50,29.416177
191.834374,50,29.529891
132.182873,50,29.607565
-311.974666,50,29.679258
99.532949,50,29.791429
155.931131,50,29.89147
141.891652,50,30.009618
73.981463,50,30.106401
219.563339,50,30.222081
195.94982,50,30.331202
247.822661,50,30.445668
165.413167,50,30.558199
71.60333,50,30.639472
246.457086,50,30.763419
168.071184,50,30.839151
252.303758,50,30.953265
308.852691,50,31.055604
-110.493247,50,31.167156
186.425324,50,31.280526
305.895924,50,31.376238
210.593754,50,31.473246
21.237229,50,31.533541
226.251406,50,31.599379
93.06769,50,31.709942
239.289348,50,31.81865
22.547977,50,31.870903
264.183951,50,31.981105
199.77055,50,32.053849
265.482393,50,32.111665
88.262971,50,32.199078
-142.550519,50,32.314151
268.439038,50,32.408734
88.549778,50,32.474665
197.42031,50,32.571571
288.479455,50,32.659991
-83.298867,50,32.776031
153.075037,50,32.878374
131.251349,50,33.001619
-125.426641,50,33.088855
75.835201,50,33.192955
-449.292375,42,33.270553
137.09989,50,33.377943
201.422093,50,33.488123
50.065151,50,33.592908
204.695588,50,33.701811
243.983829,50,33.792118
263.35744,50,33.913245
173.111035,50,34.007304
212.776703,50,34.121364
27.664703,50,34.226212
133.830739,50,34.34097
238.139717,50,34.447404
291.04816,50,34.570657
132.463636,50,34.675832
256.396814,50,34.764154
343.401002,50,34.869782
220.87632,50,34.990183
170.366938,50,35.105059
31.292199,50,35.196997
-116.870682,50,35.309789
-37.961102,50,35.403543
138.753568,50,35.517588
137.00689,50,35.621089
7.523917,50,35.726516
218.297535,50,35.841607
268.854703,50,35.926221
47.118007,50,36.039955
100.539394,50,36.145503
255.405709,50,36.215571
218.923582,50,36.276427
228.192933,50,36.341392
36.855397,50,36.469536
109.262893,50,36.670869
185.262327,50,36.804423
327.864876,50,36.915102
317.526672,50,37.034401
141.743769,50,37.153752
181.895281,50,37.245507
162.130258,50,37.355426
-65.266109,50,37.443906
22.25424,50,37.555533
269.878202,50,37.665414
216.423234,50,37.775965
217.443347,50,37.834166
254.193841,50,37.92316
27.106905,50,38.044146
125.28728,50,38.166387
-153.502866,50,38.287409
271.535234,50,38.392028
126.443466,50,38.514078
123.792275,50,38.587366
219.213412,50,38.655177
0.209458,50,38.738415
272.618804,50,38.826938
220.06027,50,38.927322
191.05347,50,39.03577
62.13844,50,39.153698
200.724528,50,39.209361
200.386108,50,39.322186
143.441531,50,39.403356
248.101317,50,39.503056
66.297585,50,39.613662
100.590795,50,39.672481
261.215997,50,39.770328
137.596405,50,39.855453
59.332004,50,39.943944
208.567182,50,40.031484
-90.420401,50,40.117295
86.866821,50,40.274352
235.905313,50,40.385977
112.949362,50,40.499012
155.849367,50,40.605609
67.297879,50,40.71525
48.183403,50,40.816456
201.718683,50,40.926017
41.602684,50,41.01621
-139.719431,50,41.107651
82.925717,50,41.203735
164.320245,50,41.265353
-545.197916,41,41.315911
272.839139,50,41.41551
7.787439,50,41.485992
91.371003,50,41.594568
170.807777,50,41.68069
-63.216146,50,41.778302
261.056845,50,41.848388
199.323058,50,41.9659
215.322107,50,42.063973
91.974806,50,42.167747
132.03803,50,42.289654
143.726677,50,42.409396
222.380688,50,42.522362
86.344474,50,42.612568
235.088508,50,42.724268
168.018039,50,42.80058
114.625113,50,42.895322
126.760993,50,43.013681
114.764133,50,43.143049
151.846812,50,43.263118
162.801009,50,43.389948
159.581283,50,43.482491
-175.908361,50,43.596564
-31.130012,50,43.678415
206.383991,50,43.805239
247.72249,50,43.910367
118.411549,50,43.986096
188.838559,50,44.079909
-82.767488,50,44.197342
267.658206,50,44.305962
