#{"t_start": 1785492204.1500926, "env_id": "DriverFatigue-v0"}
r,l,t
176.689393,50,0.141692
179.05092,50,0.239831
254.074387,50,0.359549
192.837,50,0.423491
94.198479,50,0.558751
237.903645,50,0.681518
279.784024,50,0.779982
210.438494,50,0.898631
251.217057,50,1.067858
19.371191,50,1.177095
-216.433672,50,1.319065
211.948575,50,1.436503
-34.559461,50,1.572083
200.305173,50,1.667587
230.193262,50,1.782257
213.391038,50,1.908452
126.128901,50,2.054873
33.656436,50,2.169807
122.265786,50,2.286361
176.894091,50,2.535334
45.128585,50,2.676453
248.563733,50,2.834296
63.368705,50,2.971675
-57.473359,50,3.119916
256.866478,50,3.256536
-58.577277,50,3.399613
142.27412,50,3.547005
-162.673611,50,3.691523
118.223569,50,3.927743
98.833514,50,4.222923
270.042585,50,4.522828
46.648647,50,4.77829
284.80842,50,5.009613
118.0636,50,5.231468
240.627206,50,5.578058
223.876952,50,5.816356
167.811553,50,5.97377
22.506185,50,6.133693
-375.395271,47,6.292913
-175.533064,50,6.459516
188.175645,50,6.626975
-25.365136,50,6.792892
266.023828,50,6.963005
171.023957,50,7.112961
-172.557673,50,7.278127
60.808584,50,7.440527
26.620494,50,7.608212
11.17457,50,7.792735
148.558059,50,7.961003
-137.342751,50,8.14463
34.840766,50,8.291774
119.037691,50,8.433985
-60.233193,50,8.679767
-135.564163,50,8.855022
115.177144,50,9.023605
120.26367,50,9.239282
164.025508,50,9.463739
111.992124,50,9.647633
183.626587,50,9.909248
167.135176,50,10.142397
44.266982,50,10.316112
135.423462,50,10.474082
236.183527,50,10.641915
-11.46424,50,10.791373
273.455152,50,10.989772
-61.34484,50,11.152522
279.704975,50,11.302832
112.233656,50,11.460976
-334.815598,50,11.60633
71.176492,50,11.763545
-260.161369,50,11.91549
48.221009,50,12.059071
-121.47403,50,12.21823
103.725826,50,12.362058
311.736324,50,12.534348
-76.932576,50,12.700592
-72.578829,50,12.84407
147.731905,50,13.001452
204.302108,50,13.155235
205.816865,50,13.304798
-99.512855,50,13.464423
138.024015,50,13.609205
-34.488982,50,13.763149
147.478166,50,13.909519
227.493567,50,14.06074
117.649211,50,14.213523
263.907496,50,14.355945
118.450235,50,14.512169
265.503361,50,14.651766
278.934754,50,14.799371
111.330853,50,14.933627
180.541487,50,15.083837
148.379753,50,15.234548
197.276102,50,15.379097
275.133267,50,15.532122
50.754259,50,15.670859
173.787606,50,15.828025
204.339751,50,15.975195
74.043939,50,16.124452
273.267394,50,16.273593
210.494888,50,16.474459
148.522731,50,16.623721
55.517271,50,16.769708
51.958733,50,16.913957
155.498868,50,17.055726
205.444959,50,17.196161
27.623249,50,17.347196
241.576339,50,17.49219
121.398211,50,17.642958
-179.586238,50,17.783365
215.521968,50,17.934919
164.391096,50,18.081896
219.513,50,18.236019
86.301549,50,18.374203
136.432264,50,18.515398
-185.309865,50,18.661793
205.453238,50,18.798581
-35.306114,50,18.940224
79.066848,50,19.074805
55.279372,50,19.221357
139.721164,50,19.358174
255.271729,50,19.509084
-19.194817,50,19.650436
286.567796,50,19.800856
159.797848,50,19.940883
83.235054,50,20.087275
-110.763016,50,20.233122
67.063712,50,20.378329
-85.358631,50,20.529292
-90.890775,50,20.67117
101.777609,50,20.81508
219.527652,50,20.949355
64.824991,50,21.100351
-281.809304,50,21.240602
271.010612,50,21.39074
171.909245,50,21.537018
269.563482,50,21.679859
166.773568,50,21.829047
40.00385,50,21.974283
116.092146,50,22.12352
-215.379965,50,22.269459
258.606141,50,22.417714
-52.259287,50,22.556639
43.062049,50,22.711855
71.242367,50,22.850954
104.422259,50,23.005304
58.067328,50,23.135689
-83.626028,50,23.278531
115.041567,50,23.40902
-146.997539,50,23.546319
252.754804,50,23.689413
116.210183,50,23.834997
-79.847391,50,23.977659
-65.279975,50,24.116851
30.29918,50,24.281719
158.485345,50,24.469913
-450.025749,50,24.712867
115.215156,50,24.871751
80.383497,50,25.008931
156.742657,50,25.16115
191.899162,50,25.295215
10.117718,50,25.441128
183.132971,50,25.62544
-161.449368,50,25.821559
175.109611,50,26.016499
-123.509434,50,26.155926
15.614955,50,26.299843
-217.933776,50,26.455504
-26.49087,50,26.599691
219.194796,50,26.756495
289.746802,50,26.900982
112.336341,50,27.054646
7.870999,50,27.202177
224.817484,50,27.349931
200.98649,50,27.50361
-219.548333,50,27.640558
89.380675,50,27.79504
168.041648,50,27.934881
70.223706,50,28.095365
187.043706,50,28.247496
