#{"t_start": 1785491874.9370635, "env_id": "DriverFatigue-v0"}
r,l,t
97.082686,50,0.082879
173.842016,50,0.1516
182.760791,50,0.207847
219.044086,50,0.243096
181.608232,50,0.285037
227.052159,50,0.322663
203.712824,50,0.403865
186.60238,50,0.443106
208.651187,50,0.481523
73.510893,50,0.516793
158.636266,50,0.55983
240.620975,50,0.62882
216.033086,50,0.696116
230.481058,50,0.76268
178.622741,50,0.84695
237.998136,50,0.914333
197.567024,50,0.964947
216.328303,50,1.002904
219.009921,50,1.07025
250.475839,50,1.142977
142.321934,50,1.208916
218.656487,50,1.27674
178.552923,50,1.364732
4.668218,50,1.43397
190.403905,50,1.487078
122.448692,50,1.526929
217.659875,50,1.578953
119.670938,50,1.649569
211.513756,50,1.701059
131.024831,50,1.776269
234.111814,50,1.857531
230.399089,50,1.935031
198.721077,50,2.006505
239.608824,50,2.084827
205.699811,50,2.156741
205.611113,50,2.222664
225.308869,50,2.276074
166.957615,50,2.339492
217.047958,50,2.417944
193.220286,50,2.474762
196.518756,50,2.515902
251.340051,50,2.55668
220.972886,50,2.612147
213.901085,50,2.676033
243.600167,50,2.718991
195.864219,50,2.754804
233.840653,50,2.811765
221.875291,50,2.882676
266.81983,50,2.952659
153.819797,50,3.000936
192.29216,50,3.076683
162.383456,50,3.149619
215.26385,50,3.215325
191.507206,50,3.286388
116.309476,50,3.367021
159.897126,50,3.435519
241.533107,50,3.497879
198.807696,50,3.57288
227.053991,50,3.651283
242.952615,50,3.709482
181.464482,50,3.786741
144.770993,50,3.855568
220.730817,50,3.935887
170.760584,50,3.997732
230.359532,50,4.079717
234.495283,50,4.15084
193.757307,50,4.221517
229.786541,50,4.279701
204.825044,50,4.32469
235.720496,50,4.364249
120.799578,50,4.406702
135.270914,50,4.442899
236.465626,50,4.509601
218.431129,50,4.583679
241.397559,50,4.662989
29.727976,50,4.729586
135.934673,50,4.771551
201.111562,50,4.811522
192.401897,50,4.862418
212.662757,50,4.925968
238.187271,50,4.991398
189.733132,50,5.059871
221.645237,50,5.142681
236.617949,50,5.212802
168.532915,50,5.283484
210.092662,50,5.358765
240.58087,50,5.434789
229.936155,50,5.481698
236.565147,50,5.519805
278.063453,50,5.557693
153.533388,50,5.617839
180.946183,50,5.688934
176.570621,50,5.761704
167.319342,50,5.836176
224.537694,50,5.914164
202.1191,50,5.967014
250.81774,50,6.029527
154.745969,50,6.068897
156.074526,50,6.120533
234.440074,50,6.186846
232.395334,50,6.230991
208.459941,50,6.30271
121.76402,50,6.384726
