episode,reward
1,-53.36308717727661
2,-15.971277713775635
3,-48.09478521347046
4,-63.63364887237549
5,-98.8025689125061
6,-47.2351131439209
7,-63.802927017211914
8,-95.30102157592773
9,-90.34903573989868
10,-112.62921905517578
11,-108.8561782836914
12,-108.12917757034302
13,-118.47134637832642
14,-124.25885343551636
15,31.444708824157715
16,-39.01454019546509
17,-82.10651636123657
18,-152.19657230377197
19,-93.16373348236084
20,-21.19253158569336
21,-107.06626892089844
22,-62.56057548522949
23,-39.59997797012329
24,-129.55717420578003
25,-82.99527311325073
26,-86.01579475402832
27,-38.76512813568115
28,-138.44456481933594
29,-84.32376289367676
30,-101.22989749908447
31,-116.73679971694946
32,9.349823474884033
33,-1.8089828491210938
34,-1.2973012924194336
35,79.96960735321045
36,-49.98055458068848
37,-26.80682611465454
38,-118.853590965271
39,-89.86045598983765
40,-89.87376832962036
41,-75.03441619873047
42,-133.52349042892456
43,-91.16235637664795
44,5.797101020812988
45,-47.29683494567871
46,-126.70437383651733
47,14.392050743103027
48,-34.61900043487549
49,10.946044445037842
50,-55.57119178771973
51,-63.81091785430908
52,-115.4491720199585
53,-170.42712879180908
54,69.47972774505615
55,-22.25417947769165
56,-76.73105478286743
57,125.57308912277222
58,-100.24095296859741
59,1.409562110900879
60,13.036953449249268
61,-105.98778438568115
62,-124.67729425430298
63,99.01013422012329
64,-103.1934142112732
65,-40.16033887863159
66,121.09354543685913
67,-22.43697690963745
68,-81.94931030273438
69,119.96728849411011
70,-5.605509281158447
71,31.390302181243896
72,-43.15284872055054
73,-103.70239400863647
74,5.480483055114746
75,72.98226547241211
76,-45.87666606903076
77,45.675747871398926
78,41.50841665267944
79,-147.55357551574707
80,-205.59727001190186
81,-26.606377601623535
82,118.20101833343506
83,-145.63883638381958
84,-171.6679162979126
85,-159.80519008636475
86,-162.7743945121765
87,-189.4830207824707
88,-200.63709545135498
89,-158.65769386291504
90,-137.47680759429932
91,-147.76272106170654
92,140.01625299453735
93,-49.579588890075684
94,103.17058849334717
95,65.62084913253784
96,150.38418340682983
97,67.78659915924072
98,-1.4039111137390137
99,-7.834017276763916
100,39.55390453338623
101,-84.22133350372314
102,197.06615114212036
103,151.8458662033081
104,166.0241756439209
105,-399.7702579498291
106,-22.227844715118408
107,146.8926820755005
108,-552.3780889511108
109,-42.47706699371338
110,79.17829132080078
111,-63.2712836265564
112,-11.64961576461792
113,-513.5906677246094
114,-436.6889886856079
115,-447.14291524887085
116,-439.6889691352844
117,10.063297748565674
118,-371.2583818435669
119,-336.61418294906616
120,-219.98575639724731
121,-393.0321807861328
122,-434.570592880249
123,-401.183331489563
124,-408.0637912750244
125,-373.53873682022095
126,-292.9565234184265
127,-405.7754831314087
128,-297.1422562599182
129,-377.39127922058105
130,-539.9948806762695
131,-379.3822021484375
132,-293.34791374206543
133,-484.5337462425232
134,-462.2836489677429
135,-387.242121219635
136,-294.3326840400696
137,-416.7086901664734
138,-391.1813769340515
139,-312.2076482772827
140,-456.2236614227295
