episode,reward
1,-458.02953910827637
2,-379.0775833129883
3,-324.52003145217896
4,-413.86911964416504
5,-454.3197135925293
6,-413.2240695953369
7,-338.9181389808655
8,-120.22132968902588
9,-172.04390287399292
10,-230.6065149307251
11,-210.4794569015503
12,-224.72107601165771
13,-220.60100746154785
14,-207.23206233978271
15,-245.0
16,-137.68896675109863
17,-210.71273517608643
18,-201.06836318969727
19,-237.76613330841064
20,-210.2900390625
21,-187.29115533828735
22,-223.74647045135498
23,-186.52203941345215
24,-250.0
25,-237.26172351837158
26,-119.78082180023193
27,-220.82122707366943
28,-71.80047559738159
29,-182.83140182495117
30,-39.260605335235596
31,-183.93655681610107
32,-250.0
33,-159.3999261856079
34,-178.12822914123535
35,-236.0
36,-152.63085412979126
37,-223.75102424621582
38,-120.15854930877686
39,-178.93006134033203
40,-250.0
41,136.35485982894897
42,-51.70712757110596
43,127.66927146911621
44,-98.76450061798096
45,-39.81081485748291
46,-43.25708723068237
47,-52.916261196136475
48,-13.94135570526123
49,-112.52485704421997
50,-89.31908369064331
51,-141.23061084747314
52,-136.26480531692505
53,-113.05598783493042
54,-99.5547194480896
55,-128.14377784729004
56,-148.2663369178772
57,-170.40298318862915
58,-127.94849109649658
59,-73.66182804107666
60,-87.7382640838623
61,-101.7211537361145
62,-76.36421298980713
63,-43.69423151016235
64,-64.71925687789917
65,-160.3209204673767
66,-58.82260513305664
67,-186.00316619873047
68,-72.95666313171387
69,-126.95168781280518
70,-106.35232877731323
71,-161.18472290039062
72,-163.04314947128296
73,-135.8647222518921
74,-165.91867303848267
75,-45.05117750167847
76,-115.39900827407837
77,-88.53235864639282
78,-74.24137353897095
79,-139.47986602783203
80,-153.57861137390137
81,-87.63716220855713
82,-83.8351263999939
83,-79.31613349914551
84,-107.29065322875977
85,-40.130337715148926
86,-2.2862119674682617
87,-138.1969232559204
88,-26.905816555023193
89,-67.06155490875244
90,-5.1343255043029785
91,-41.60032892227173
92,-126.31635856628418
93,-127.71780204772949
94,-145.98991680145264
95,-61.34278392791748
96,-100.30027484893799
97,-156.15662622451782
98,-143.46697568893433
99,-67.44401741027832
100,-131.60795307159424
101,-72.58193302154541
102,-135.51838779449463
103,-137.11563110351562
104,-27.670316219329834
105,-97.69132709503174
106,-122.61221408843994
107,-40.60830593109131
108,-126.70770263671875
109,-117.26326990127563
110,-112.94986534118652
111,-51.99272346496582
112,-132.59498405456543
113,-168.0577130317688
114,-125.99352359771729
115,-124.13722038269043
116,-99.303946018219
117,-100.56218528747559
118,-171.2115445137024
119,-66.09056949615479
120,-117.6686840057373
121,-96.29878854751587
122,-75.32773542404175
123,-101.34092378616333
124,-108.59554147720337
125,-108.29632759094238
126,-133.23043727874756
127,-65.58235454559326
128,-71.56205749511719
129,-152.25082397460938
130,-120.9348464012146
131,-78.08405017852783
132,-99.1051197052002
133,-43.12663555145264
134,-165.1772198677063
135,-148.41933822631836
136,-177.56403827667236
137,-149.70916986465454
138,-118.72300815582275
139,-161.109778881073
140,-128.3222541809082
141,-79.45500659942627
142,-138.59124660491943
143,-24.66747236251831
144,-102.0823826789856
145,-143.22725439071655
146,-143.4750394821167
147,-53.07177925109863
148,-128.0972375869751
149,-154.5454182624817
150,-69.20671892166138
151,-47.37251377105713
152,-52.80495023727417
153,-82.22710371017456
154,-141.91690635681152
155,-111.18621158599854
156,-116.75706958770752
157,-61.546210289001465
158,-92.709725856781
159,-123.10051345825195
160,-85.01808643341064
161,-147.32888412475586
162,-116.36205673217773
163,-46.81956100463867
164,-35.98167276382446
165,-113.97026109695435
166,-83.52322053909302
167,-133.33821630477905
168,-127.19672679901123
169,-30.171768188476562
170,-141.68603229522705
171,-162.93623876571655
172,-113.36161994934082
173,-96.77699565887451
174,-23.91160821914673
175,-109.27818393707275
176,-196.96281147003174
177,-103.99193811416626
178,-188.29719018936157
179,-137.10377407073975
180,-118.79958963394165
181,-133.13726615905762
182,-85.3978009223938
183,-183.44913959503174
184,-126.09549331665039
185,-150.73045587539673
186,-100.32008600234985
187,-87.53920125961304
188,-34.755356311798096
189,-100.18513059616089
190,-83.89842128753662
191,-29.1486873626709
192,-151.9026255607605
193,-117.14418840408325
194,-133.97449111938477
195,-118.19430828094482
196,-117.03630685806274
197,-122.84881353378296
198,-98.21097469329834
199,-129.3824586868286
200,-71.31146144866943
201,-141.63397884368896
202,-151.25375032424927
203,-82.5692868232727
204,-129.2583727836609
205,-114.44884157180786
206,-121.92116117477417
207,-118.95843935012817
208,-138.33961153030396
209,-52.163137435913086
210,-166.0871777534485
211,-157.06728410720825
212,-138.6066427230835
213,-134.5914945602417
214,-133.18608236312866
215,-97.43947458267212
216,-123.28851842880249
217,-118.81687068939209
218,-55.51124668121338
219,-93.00328207015991
220,-159.43465852737427
221,-38.206149101257324
222,-86.3984546661377
223,-56.56036949157715
224,-158.00805807113647
225,-138.8555736541748
226,-112.84395503997803
227,-145.0398063659668
228,-77.30062532424927
229,-90.38395929336548
230,-185.17633438110352
231,-137.71206045150757
232,-121.82703876495361
233,-83.73632383346558
234,-39.41126871109009
235,-147.32760334014893
236,-166.082435131073
237,-151.6071653366089
238,-88.87322044372559
239,-62.266220569610596
240,-113.14502477645874
241,-84.45922517776489
242,-150.12005186080933
243,-93.44365739822388
244,-93.31634950637817
245,-116.16995811462402
246,-155.2946901321411
247,-55.58927917480469
248,-132.5197286605835
249,-39.88162136077881
250,-113.23261833190918
251,-130.78881406784058
252,-122.57173538208008
253,-110.93535995483398
254,-138.48779678344727
255,-35.13182878494263
256,-116.13896703720093
257,-125.08498191833496
258,-133.48386573791504
259,-47.82416296005249
260,-107.08420372009277
261,-147.6008586883545
262,-144.98352479934692
263,-126.90420532226562
264,-77.24832057952881
265,-190.1236491203308
266,-101.67538022994995
267,-126.80961179733276
268,-167.67806768417358
269,-147.8312692642212
270,-89.95044755935669
271,-109.02163219451904
272,-152.2314009666443
273,-167.83071327209473
274,-68.70927000045776
275,-189.6195125579834
276,-95.34681940078735
277,-58.9296236038208
278,-136.32697343826294
279,-81.92126178741455
280,-152.89437437057495
281,-82.92025899887085
282,-109.25832939147949
283,-70.48281335830688
284,-136.55400609970093
285,-89.88405799865723
286,-56.47491693496704
287,-145.03653192520142
288,-144.52182817459106
289,-139.71787881851196
290,-81.78593349456787
291,-150.5042815208435
292,-69.18808603286743
293,-115.1218318939209
294,-154.57646465301514
295,-123.38623142242432
296,-110.5172986984253
297,-153.80395555496216
298,-111.9524998664856
299,-61.464723110198975
300,-94.69204425811768
301,-19.166847229003906
302,-90.13769960403442
303,-141.14680242538452
304,-39.26205348968506
305,-128.87096786499023
306,-54.94247388839722
307,-118.9517126083374
308,-166.14092302322388
309,-68.30627346038818
310,-120.61402416229248
311,-93.69321250915527
312,61.27311658859253
313,-75.54383182525635
314,-102.68123769760132
315,-80.58037281036377
316,-92.44058752059937
317,-89.7175760269165
318,-126.99585437774658
319,-147.25842475891113
320,-138.1519422531128
321,-142.69793462753296
322,-109.0420594215393
323,-101.5336709022522
324,-7.904818058013916
325,-138.31811618804932
326,-134.85094356536865
327,-170.3518261909485
328,-125.56591653823853
329,-98.358145236969
330,-53.18661594390869
331,-109.91792154312134
332,-147.58303260803223
333,-12.228182315826416
334,-146.58586645126343
335,-60.20965623855591
336,-129.43865871429443
337,-90.22377347946167
338,-164.18519258499146
339,-30.3149356842041
340,-63.76046085357666
341,-96.29562044143677
342,-133.38694858551025
343,-137.86931467056274
344,-55.49431133270264
345,-156.27649879455566
346,-104.05928945541382
347,-126.64696979522705
348,-75.65034008026123
349,-149.34096145629883
350,-63.434616565704346
351,-31.254355430603027
352,-120.74309921264648
353,-125.85137176513672
354,-183.2845435142517
355,-120.81031370162964
356,-110.10350131988525
357,-173.2738857269287
358,-117.46896934509277
359,-164.47901248931885
360,-91.4759349822998
361,-98.82767820358276
362,-8.17619800567627
363,-86.57724714279175
364,-58.133378982543945
365,-111.46902084350586
366,-76.2834062576294
367,-58.4792594909668
368,-72.44026947021484
369,-104.75961256027222
370,-68.2665524482727
371,-37.835633754730225
372,-118.53035545349121
373,-161.7262282371521
374,-108.447425365448
375,-141.41705799102783
376,-152.61031484603882
377,-169.87476110458374
378,-160.66977167129517
379,-81.4774603843689
380,-58.0932674407959
381,-101.69971036911011
382,-72.49360990524292
383,-109.04635095596313
384,-122.44489860534668
385,-121.67031145095825
386,-118.16263961791992
387,-138.316397190094
388,-135.55767440795898
389,-137.31960344314575
390,-49.45167922973633
391,-130.00945854187012
