episode,reward
1,-70.0
2,-240.0
3,-228.8968906402588
4,-240.0
5,-240.0
6,-216.24322032928467
7,-250.0
8,-237.02945709228516
9,-203.88727283477783
10,-222.8072271347046
11,-231.7078857421875
12,-230.92742824554443
13,-245.0
14,-221.26150131225586
15,-229.06186485290527
16,-250.0
17,-236.48858833312988
18,-245.0
19,-245.0
20,-235.0
21,-245.0
22,-226.09952354431152
23,-216.1477451324463
24,-201.50454902648926
25,-210.5962038040161
26,-226.41771411895752
27,-240.0
28,-250.0
29,-240.0
30,-245.0
31,-226.0680446624756
32,-223.37638092041016
33,-225.0
34,-240.0
35,-230.0
36,-219.00153923034668
37,-223.35930824279785
38,-222.25425720214844
39,-227.4668140411377
40,-235.0
41,-226.0
42,-214.30746936798096
43,-203.0509433746338
44,-205.0
45,-168.57606887817383
46,-114.1504602432251
47,-159.89256286621094
48,-95.79966640472412
49,3.405618667602539
50,48.443193435668945
51,28.264677047729492
52,191.81253862380981
53,70.65382766723633
54,-345.42547273635864
55,-415.6655354499817
56,107.92976093292236
57,244.7874460220337
58,-383.02452850341797
59,-176.75399541854858
60,-323.27387142181396
61,-393.25954723358154
62,-390.3099184036255
63,-413.03175354003906
64,-368.34794998168945
65,-348.8722324371338
66,-357.2569303512573
67,-362.3396439552307
68,-471.7802700996399
69,-509.27699089050293
70,-446.08767080307007
71,-432.3352451324463
72,-252.85918998718262
73,-425.0176200866699
74,-338.8157539367676
75,-553.3484687805176
76,-413.5332136154175
77,-364.7672748565674
78,-417.9958486557007
79,-395.13131189346313
80,-341.33808755874634
81,-484.51769256591797
82,-298.1115622520447
83,-512.1177773475647
84,-321.8246726989746
85,-435.11003065109253
86,-337.993736743927
87,-313.4851222038269
88,-538.3369860649109
89,-484.75308895111084
90,-453.9323196411133
91,-411.6526355743408
92,-380.0410370826721
93,-548.7227926254272
94,-520.4873237609863
95,-349.80225467681885
96,-397.06485414505005
97,-374.6939539909363
98,-309.94522523880005
99,-307.6858477592468
100,-343.0250840187073
101,-380.31583738327026
102,-529.9444766044617
103,-523.2082319259644
104,-482.7495036125183
105,-389.5630187988281
106,-423.61208724975586
107,-389.7598123550415
108,-532.3522624969482
109,-404.1339325904846
110,-435.31532287597656
111,-402.2671375274658
112,-447.21360969543457
113,-461.333758354187
114,-355.5427474975586
115,-395.5494565963745
116,-473.3998999595642
117,-462.11035919189453
118,-349.39970684051514
119,-437.5926284790039
120,-366.9939579963684
121,-368.2458119392395
122,-453.7714385986328
123,-432.13325548171997
124,-480.6857476234436
125,-510.45703077316284
126,-371.37376499176025
127,-504.24756145477295
128,-684.9946179389954
129,-488.5137357711792
130,-440.1422996520996
131,-339.0025067329407
132,-433.3940587043762
133,-369.6307010650635
134,-554.8175783157349
135,-433.12365436553955
136,-407.990131855011
137,-490.78994369506836
138,-478.9926428794861
139,-479.9874005317688
140,-446.3301844596863
141,-435.5673370361328
142,-396.12059926986694
143,-390.41048431396484
144,-430.6438889503479
145,-427.9197111129761
146,-419.70803117752075
147,-482.6769804954529
148,-402.1014747619629
149,-365.4249224662781
150,-443.97505283355713
151,-464.5986795425415
152,-398.5737843513489
153,-283.38939905166626
154,-333.06840229034424
155,-456.9453754425049
156,-304.22422218322754
157,-443.49471950531006
158,-515.2165050506592
159,-478.8984169960022
160,-280.49955654144287
161,-358.5894432067871
162,-355.96295833587646
163,-472.0848751068115
164,-537.0138154029846
165,-358.53523445129395
166,-400.1808571815491
167,-366.0995955467224
168,-307.91082859039307
169,-308.18030548095703
170,-148.07998085021973
171,5.36051082611084
172,93.2314567565918
173,102.97744274139404
174,53.68867826461792
175,60.68106746673584
176,-211.7203016281128
177,6.052363395690918
178,-373.4419150352478
179,-369.2111487388611
180,-319.7822060585022
181,-470.3528356552124
182,-417.59053468704224
183,-339.5665407180786
184,-302.9708414077759
185,-425.02030658721924
186,-415.47229385375977
187,-456.3675971031189
188,-376.9202404022217
189,-360.70593786239624
190,-349.0094952583313
191,-409.15064907073975
192,-418.90164375305176
193,-521.6899914741516
194,-457.4222083091736
195,-364.45126247406006
196,-399.7964143753052
197,-503.485143661499
198,-488.0811986923218
199,-366.0809688568115
200,-468.7158064842224
201,-451.90463161468506
202,-384.8573360443115
203,-328.0593776702881
204,-220.03517866134644
205,-379.28201150894165
206,-414.8408913612366
207,-468.4488158226013
208,-374.6330466270447
209,-481.2262182235718
210,-366.62756872177124
211,-245.88308477401733
212,62.741228103637695
213,-443.2410340309143
214,6.620383262634277
215,20.34823703765869
216,45.63779163360596
217,23.893994331359863
218,27.60771083831787
219,38.97348594665527
220,40.439002990722656
221,-98.62323236465454
222,-494.17393159866333
223,-312.2964940071106
224,-370.14439058303833
225,-318.1689758300781
226,-374.7823371887207
227,-369.2514510154724
228,-469.51528549194336
229,-413.6269631385803
230,-353.9987668991089
