episode,reward
1,-510.1446285247803
2,-387.9054579734802
3,-314.2670979499817
4,-414.48750829696655
5,-437.4130525588989
6,-429.8846483230591
7,-524.0468850135803
8,-380.42127084732056
9,88.57257461547852
10,50.33314514160156
11,24.94888210296631
12,29.50268268585205
13,21.95944118499756
14,15.789556503295898
15,68.03353309631348
16,-391.14667654037476
17,-326.1813621520996
18,-316.1497325897217
19,-430.9533748626709
20,-327.83437967300415
21,-222.06070184707642
22,-395.33390378952026
23,-357.751558303833
24,-401.53910779953003
25,-312.40250730514526
26,-320.37595415115356
27,-426.8819389343262
28,-477.97376823425293
29,-538.910984992981
30,-423.5935764312744
31,-391.3756318092346
32,-437.164523601532
33,-436.70358657836914
34,-516.5487003326416
35,-303.13296937942505
36,-417.4620361328125
37,-439.62578868865967
38,-458.14756202697754
39,-328.0048394203186
40,-678.8467798233032
41,-437.42803287506104
42,-271.4977169036865
43,-245.5362091064453
44,-433.46095514297485
45,-554.6362991333008
46,-246.32449960708618
47,-368.99569034576416
48,-357.52434062957764
49,-534.9451961517334
50,-251.1353530883789
51,-260.47051668167114
52,-258.656014919281
53,-500.18813371658325
54,-213.7114896774292
55,-49.453678131103516
56,274.3439621925354
57,75.46571636199951
58,31.197087287902832
59,20.9660587310791
60,7.0
61,32.76438808441162
62,38.65058708190918
63,21.23311424255371
64,10.603180885314941
65,18.068580627441406
66,4.671547889709473
67,17.52716636657715
68,7.0
69,29.427602767944336
70,10.246854782104492
71,36.62297248840332
72,41.69176959991455
73,63.555376052856445
74,44.85330009460449
75,263.3819932937622
76,-397.7881302833557
77,-365.66540241241455
78,-445.1400508880615
79,-392.99614095687866
80,-489.41542291641235
81,-365.5006260871887
82,-378.1835341453552
83,-436.5548038482666
84,-399.44755268096924
85,-425.3582139015198
86,-528.6863327026367
87,-334.71708393096924
88,-498.57447719573975
89,-340.70761156082153
90,-417.98234844207764
91,-338.9162254333496
92,-334.2554111480713
93,-501.904390335083
94,-507.3091206550598
95,-411.8242926597595
96,-372.2642993927002
97,-409.5705018043518
98,-421.0415668487549
99,-531.6942920684814
100,-374.57887268066406
101,-357.92278957366943
102,-372.78326320648193
103,-297.38267040252686
104,-332.70512437820435
105,-408.54036569595337
106,-395.2357077598572
107,-356.65299892425537
108,-437.2745304107666
109,-386.0386161804199
110,-550.9164924621582
111,-406.64757680892944
112,-372.6052293777466
113,-445.46663331985474
114,-523.7936191558838
115,-351.3790364265442
116,-458.67764711380005
117,-378.28880500793457
118,-544.1604156494141
119,-506.5106816291809
120,-415.18186044692993
121,-481.46860122680664
122,-492.1909294128418
123,-479.7916030883789
124,-352.14083528518677
125,-476.71280813217163
126,-368.19283962249756
127,-360.95348834991455
128,-472.2136664390564
129,-427.0138282775879
130,-407.8511199951172
131,-578.7303409576416
132,-385.63652086257935
133,-419.67891454696655
134,-360.1929397583008
135,-440.5846152305603
136,-355.39253759384155
137,-388.80244398117065
138,-511.6179337501526
139,-508.1757960319519
140,-380.944215297699
141,-467.4496021270752
142,-329.4299440383911
143,-431.834352016449
144,-524.4264588356018
145,-535.5715432167053
146,-400.0627145767212
147,-353.6979908943176
148,-498.86679887771606
149,-421.1607918739319
150,-468.91044187545776
151,-440.5443606376648
152,-476.0309748649597
153,-390.2469983100891
154,-486.1645998954773
155,-428.08236598968506
156,-396.45301818847656
157,-362.71582317352295
158,-462.3356680870056
159,-467.5177493095398
160,-366.9756860733032
161,-380.252893447876
162,-478.04656410217285
163,-430.6707515716553
164,-455.9987983703613
165,-489.02198934555054
166,-521.8336668014526
167,-407.8383140563965
168,-263.90540742874146
169,-394.6212201118469
170,-345.594614982605
171,-454.96458625793457
172,-572.0469422340393
173,-408.53651094436646
174,-440.74735927581787
175,-401.2503685951233
176,-426.82048749923706
177,-409.59205436706543
178,-320.13732719421387
179,-495.4493684768677
180,-477.18157291412354
181,-429.09597396850586
182,-441.9442148208618
183,-462.07445526123047
184,-513.9072113037109
185,-415.31370878219604
186,-328.8896417617798
187,-309.55929470062256
188,-429.273060798645
189,-367.2681574821472
190,-565.6196913719177
191,-507.3201651573181
192,-463.0787720680237
193,-408.1374878883362
194,-471.4600486755371
195,-396.7654995918274
196,-473.88436222076416
197,-492.1989269256592
198,-419.6476926803589
199,-490.7876491546631
200,-368.66204929351807
201,-426.53178119659424
202,-377.213978767395
203,-409.9298095703125
204,-471.7719373703003
205,-587.4626264572144
206,-448.83770990371704
207,-398.988844871521
208,-434.24199962615967
209,-355.9280881881714
210,-449.33263778686523
211,-437.89577770233154
212,-481.9863405227661
213,-458.49572801589966
