episode,reward
1,-83.38142728805542
2,-119.36711597442627
3,-113.37936687469482
4,-96.47923421859741
5,-85.36485195159912
6,-122.71023321151733
7,-99.97183275222778
8,-168.35944032669067
9,-131.8019723892212
10,-119.87324047088623
11,-128.07665586471558
12,-148.0136079788208
13,-139.0063304901123
14,-121.22535800933838
15,-110.16837787628174
16,-46.25513172149658
17,-81.73286294937134
18,-180.44025468826294
19,-116.67065668106079
20,-149.7403016090393
21,-102.06257915496826
22,-84.99503374099731
23,-114.50274896621704
24,-132.65117263793945
25,-129.81036806106567
26,-158.8341178894043
27,-112.1970009803772
28,-137.40033721923828
29,-107.0141019821167
30,-115.10015964508057
31,-130.16270685195923
32,-79.115731716156
33,-142.2883906364441
34,-48.75683403015137
35,-74.36358642578125
36,-148.23599863052368
37,-10.499154567718506
38,-167.51721668243408
39,-122.61809587478638
40,-105.33818101882935
41,-118.79761457443237
42,-154.0608615875244
43,-137.4120626449585
44,8.65036916732788
45,-61.06094741821289
46,-112.64076328277588
47,-26.66590976715088
48,-112.82043981552124
49,-63.5810227394104
50,-143.01008653640747
51,-157.6057333946228
52,-113.87474775314331
53,-169.37219047546387
54,-125.5779938697815
55,-126.87303829193115
56,-139.74665021896362
57,-119.07934188842773
58,-101.27486848831177
59,-105.51745891571045
60,-81.58812427520752
61,-138.81763172149658
62,-100.41376638412476
63,-118.8642029762268
64,-112.9752516746521
65,-121.26311492919922
66,-89.70945501327515
67,-26.585228443145752
68,-119.89779949188232
69,-53.611422061920166
70,-144.7231216430664
71,-143.8855414390564
72,-122.46006393432617
73,-126.7222204208374
74,-50.185097217559814
75,-60.88394212722778
76,-103.33842182159424
77,-122.74075269699097
78,-145.60753965377808
79,-109.2286639213562
80,-101.08643770217896
81,-50.947229862213135
82,-153.5504183769226
83,-141.1207718849182
84,-63.946324825286865
85,-65.10289859771729
86,-118.0292010307312
87,-43.128668785095215
88,-68.84507036209106
89,-72.13374090194702
90,8.590166568756104
91,-68.25987339019775
92,-204.20528078079224
93,-131.1200270652771
94,-105.60828590393066
95,-63.335838317871094
96,-128.21798467636108
97,-114.15983629226685
98,-108.67030572891235
99,-140.15358018875122
100,-129.51096487045288
101,-90.37384557723999
102,-45.12858200073242
103,-97.51577472686768
104,-117.51849174499512
105,-94.14294290542603
106,-55.76676845550537
107,-136.73943614959717
108,-143.6446180343628
109,-100.6311616897583
110,-60.98323583602905
111,-111.87551832199097
112,-148.76205205917358
113,-124.41669940948486
114,-43.88791561126709
115,-158.34224128723145
116,-85.74974775314331
117,-105.80594778060913
118,-100.48449420928955
119,-130.1987681388855
120,-95.51454973220825
121,-128.70565843582153
122,-83.27991342544556
123,-106.47036838531494
124,-92.31902265548706
125,-87.44126558303833
126,-158.06767988204956
127,-126.56267833709717
128,-91.22150421142578
129,-120.30601596832275
130,-73.43472814559937
131,-68.99878358840942
132,-119.35156488418579
133,-142.2679796218872
134,-174.83235549926758
135,-98.96586227416992
136,-152.07828903198242
137,-143.40494012832642
138,-156.8082571029663
139,-145.1750283241272
140,-108.93589639663696
141,-148.9269003868103
142,-48.57753038406372
143,-93.23140859603882
144,-153.87572240829468
145,-128.78912734985352
146,-57.73483848571777
147,-170.65240049362183
148,-121.11141586303711
149,-117.15956783294678
150,-151.3535680770874
151,-60.571656703948975
152,-43.66903877258301
153,-136.66596221923828
154,-59.869173526763916
155,-100.52642631530762
156,-8.84244966506958
157,-126.67640686035156
158,-112.38478755950928
159,-158.1501007080078
160,-149.64680862426758
161,-142.0125560760498
162,-137.3935031890869
163,-128.45312786102295
164,-112.27782249450684
165,-96.17877674102783
166,-145.33368110656738
