episode,reward
1,-210.51988220214844
2,51.43921089172363
3,-82.5433120727539
4,-96.37914800643921
5,-115.15000343322754
6,-121.92712163925171
7,-99.97183275222778
8,-168.35944032669067
9,-145.18436908721924
10,-139.64824056625366
11,-127.71851205825806
12,-148.0136079788208
13,-139.0063304901123
14,-126.25804662704468
15,-109.98719692230225
16,-63.42964744567871
17,-94.05553388595581
18,-180.44025468826294
19,-93.16373348236084
20,-152.77346515655518
21,-116.43793201446533
22,-84.99503374099731
23,-95.35241889953613
24,-132.65117263793945
25,-130.61738061904907
26,-160.2465901374817
27,-112.1970009803772
28,-143.42823696136475
29,-120.22145795822144
30,-101.22989749908447
31,-118.13601160049438
32,-79.115731716156
33,-142.2883906364441
34,-50.36930751800537
35,-77.36358642578125
36,-153.23599863052368
37,-50.64024066925049
38,-168.9211597442627
39,-95.42729902267456
40,-124.89202356338501
41,-102.59100866317749
42,-156.92120265960693
43,-140.36958503723145
44,8.65036916732788
45,-61.06094741821289
46,-127.89523887634277
47,-53.17160129547119
48,-112.77323722839355
49,-56.21851825714111
50,-143.01008653640747
51,-159.6053490638733
52,-115.35817861557007
53,-174.5825915336609
54,-125.5779938697815
55,-127.0744309425354
56,-144.73034477233887
57,-133.6856050491333
58,-102.86891603469849
59,-105.51745891571045
60,-103.32129764556885
61,-138.81763172149658
62,-116.19107675552368
63,-119.18472957611084
64,-110.63894748687744
65,-119.39584445953369
66,-89.70945501327515
67,-37.14299154281616
68,-119.87056064605713
69,-39.78217554092407
70,-157.85698556900024
71,-159.77877473831177
72,-122.46006393432617
73,-126.80735158920288
74,-29.345057487487793
75,-60.88394212722778
76,-107.57692861557007
77,-122.74075269699097
78,-145.60753965377808
79,-109.27568674087524
80,-100.64987659454346
81,-64.12572050094604
82,-151.65552759170532
83,-141.1207718849182
84,-64.24183797836304
85,-65.10289859771729
86,-95.4450626373291
87,-45.60452461242676
88,-68.84507036209106
89,-72.13374090194702
90,13.590166568756104
91,-103.17088556289673
92,-204.20528078079224
93,-129.67384576797485
94,-124.18099689483643
95,-76.8649091720581
96,-128.21798467636108
97,-90.81969881057739
98,-111.29425287246704
99,-126.15358018875122
100,-132.51096487045288
101,-106.82365942001343
102,-45.85323905944824
103,-97.51577472686768
104,-119.53570938110352
105,-127.37045240402222
106,-55.76676845550537
107,-141.73089790344238
108,-143.6446180343628
109,-91.6311616897583
110,-62.705623149871826
111,-111.87551832199097
112,-150.71325540542603
113,-116.70240688323975
114,-43.88791561126709
115,-163.27451133728027
116,-90.67000436782837
117,-105.80594778060913
118,-115.1511082649231
119,-121.00695037841797
120,-126.11429691314697
121,-127.88803291320801
122,-84.43882894515991
123,-80.47078657150269
124,-113.11938810348511
125,-91.9061450958252
126,-172.5010552406311
127,-156.07956886291504
128,-98.87141275405884
129,-123.12619113922119
130,-75.62051248550415
131,-84.47880744934082
132,-119.64688348770142
133,-142.2679796218872
134,-174.83235549926758
135,-99.11815166473389
136,-149.3948049545288
137,-143.40252017974854
138,-161.8082571029663
139,-150.91397762298584
140,-111.04253911972046
141,-148.9269003868103
142,-35.23289346694946
143,-94.15252256393433
144,-178.82819080352783
145,-130.25489234924316
146,-60.28823947906494
147,-171.46586561203003
148,-120.94728374481201
149,-118.57781505584717
150,-152.66833114624023
151,-58.07735586166382
152,-43.66903877258301
153,-135.10369348526
154,-61.26930570602417
155,-105.52642631530762
156,-9.948181629180908
157,-127.50981330871582
158,-115.94610643386841
159,-158.10928106307983
160,-152.60275745391846
161,-143.2470006942749
162,-137.3935031890869
163,-128.34182167053223
164,-112.27782249450684
165,-96.17877674102783
166,-147.48455810546875
167,-121.32774686813354
168,-155.49460077285767
169,-103.06952428817749
170,-171.6805510520935
171,-54.25493383407593
172,-150.57371139526367
173,-95.8975305557251
174,-156.5933895111084
175,-171.4402313232422
176,-79.89238262176514
177,-127.16347885131836
178,-100.12643337249756
179,-94.20450067520142
180,-121.42966270446777
181,-34.986286640167236
182,-164.366455078125
183,-115.18808937072754
184,-118.30669212341309
185,-104.28958034515381
186,-38.58041477203369
187,-24.60329580307007
188,-157.30259561538696
189,-69.70643949508667
190,-55.34631824493408
191,-176.14148712158203
192,-40.22153997421265
193,-131.99632120132446
194,-112.30652666091919
195,-92.404128074646
196,-69.70897912979126
197,-118.04904270172119
198,-54.958394050598145
199,-109.6052770614624
200,-148.13017225265503
201,-153.61303901672363
202,-113.16123008728027
203,-122.95336198806763
204,-53.432809829711914
205,-123.5135588645935
206,-150.62179613113403
207,-99.05556201934814
208,9.803302764892578
209,-156.32455110549927
210,-107.7750997543335
211,-173.8186321258545
212,-37.300811767578125
213,-77.79017686843872
214,-128.76809549331665
215,-173.8983154296875
216,-132.92501831054688
217,-81.9603123664856
218,-190.8627586364746
219,-127.17747116088867
220,-113.01454162597656
221,-177.28176355361938
222,-59.70633935928345
223,-124.53445768356323
224,-117.69901371002197
225,-90.17482900619507
226,-109.89669609069824
227,-96.61298370361328
228,-151.95428895950317
229,-117.7777156829834
230,-90.04703903198242
231,18.22379446029663
232,-91.7559871673584
233,-156.49477195739746
234,-142.05112266540527
235,-147.55270195007324
236,-57.88619804382324
237,-166.42934703826904
238,-105.69096899032593
239,-127.20243120193481
240,-66.8140001296997
241,-140.99306058883667
242,-87.05599880218506
243,-111.1679892539978
244,-121.49587965011597
245,-156.55201053619385
246,-107.74044466018677
247,-47.55204963684082
248,-92.62280893325806
249,-122.61069345474243
250,-171.0545334815979
251,-121.04898691177368
252,-116.17439126968384
253,-170.60507678985596
254,-53.12004375457764
255,-78.88666105270386
256,-177.75295162200928
257,-138.86575031280518
258,-17.849393367767334
259,-135.42012214660645
260,-164.8026304244995
261,-99.21288442611694
262,-86.44730138778687
263,-60.36482095718384
264,-128.64254093170166
265,-88.880295753479
266,-141.14988660812378
267,-160.45682668685913
268,-159.31240367889404
269,-101.19096183776855
270,-96.45489311218262
271,-105.27141380310059
272,-106.71346855163574
273,-109.82387638092041
274,-71.98322534561157
275,-131.13505506515503
276,-94.2368950843811
277,-143.79571437835693
278,-112.2050199508667
279,-164.6224217414856
280,-80.0173454284668
281,-107.85338640213013
282,-71.79597520828247
283,-86.72801733016968
284,-130.68711185455322
285,-82.65469789505005
286,-107.05440521240234
287,-146.99578475952148
288,-133.68781995773315
289,-90.93799352645874
290,-109.37331247329712
291,-41.1987738609314
292,-123.96706438064575
293,-112.9800214767456
294,-143.30201387405396
295,-86.96942520141602
296,-170.69720935821533
297,-132.12649488449097
298,-149.9613013267517
299,-166.82296323776245
300,-118.14058256149292
301,-126.15747165679932
302,-96.37371158599854
303,-91.3553957939148
304,-141.5602307319641
305,-61.321744441986084
306,-137.08784246444702
307,-113.8122181892395
308,-68.49675369262695
309,-126.91976499557495
310,-92.170090675354
311,11.56257677078247
312,-113.58893918991089
313,-72.73015546798706
314,-129.42876434326172
315,-122.86123323440552
316,-115.8618688583374
317,-134.29876470565796
318,-123.63975954055786
319,-182.78965044021606
320,-150.0086874961853
321,-80.304678440094
322,-185.06988096237183
323,-36.94627046585083
324,-141.6597728729248
325,-143.68355703353882
326,-143.93846559524536
327,-145.64473247528076
328,-106.61390542984009
329,-109.60667562484741
330,-115.36382865905762
331,-93.78554201126099
332,-130.46743059158325
333,-108.09287548065186
334,-96.58159399032593
335,-113.65629529953003
336,-127.78076601028442
337,-134.05144357681274
338,-52.60742425918579
339,-131.37822580337524
340,-130.4616961479187
341,-138.78058385849
342,-120.27038383483887
343,-124.38573169708252
344,-145.54559659957886
345,-163.21924257278442
346,-130.41262578964233
347,-31.989242553710938
348,-133.01281690597534
349,-115.25435161590576
350,-17.319870948791504
351,-195.1371250152588
352,-119.7600040435791
353,-189.02702856063843
354,-102.3953332901001
355,-105.14579582214355
356,-148.7273726463318
357,-161.25992012023926
358,-164.29284238815308
359,-116.14669227600098
360,-122.76602840423584
361,-73.58725166320801
362,-92.9110198020935
363,-156.5297417640686
364,-182.70366668701172
365,-68.93619298934937
366,-126.97732734680176
367,-12.840883731842041
368,-117.12217855453491
369,-78.71611022949219
370,-63.613032817840576
371,-53.94886541366577
372,-92.8639178276062
373,-136.11107540130615
374,-174.70258474349976
375,-120.45172119140625
376,-85.18087673187256
377,-162.30760860443115
378,-109.44980573654175
379,-150.20842790603638
380,-72.6814317703247
381,-108.39635705947876
382,-113.58672523498535
383,-43.475266456604004
384,-175.31404495239258
385,-146.34158039093018
386,-116.17341470718384
387,-159.38966131210327
388,-152.43705034255981
389,-76.50826740264893
390,-132.71676301956177
391,-100.94361305236816
392,-52.25412893295288
393,-127.00304794311523
394,-164.56630325317383
395,-44.89645576477051
396,-176.7506127357483
397,-185.4094476699829
398,-148.17290449142456
399,-112.76973867416382
400,-91.23363256454468
401,-92.66310453414917
402,-74.97947216033936
403,-143.26271867752075
404,-145.20434665679932
405,-57.961326122283936
406,-144.9351658821106
407,-80.60689640045166
408,-124.24856376647949
409,-80.70736455917358
410,-151.4792022705078
411,-178.37488555908203
412,-111.05720567703247
413,-113.70779037475586
