episode,reward
1,14.19010066986084
2,2.0
3,6.406435966491699
4,23.085436820983887
5,22.175092697143555
6,10.638352394104004
7,24.962971687316895
8,113.51495456695557
9,53.81325435638428
10,205.1637544631958
11,239.20237350463867
12,-350.2271399497986
13,-473.8100824356079
14,-468.70161056518555
15,-346.1275405883789
16,-406.72780656814575
17,-402.54012966156006
18,-413.71843814849854
19,-461.79921102523804
20,-606.1184420585632
21,-484.71945428848267
22,-466.0883536338806
23,-301.4746265411377
24,-502.1908755302429
25,-459.5118999481201
26,-388.29104948043823
27,-433.1196131706238
28,-502.9408349990845
29,-415.9504499435425
30,-494.49006605148315
31,-521.6987829208374
32,-400.61589765548706
33,-483.524911403656
34,-528.7768292427063
35,-400.7886815071106
36,-281.12437677383423
37,-425.6791920661926
38,-470.40278148651123
39,-486.88646173477173
40,-331.83823108673096
41,-633.0252289772034
42,-434.29426527023315
43,-416.22985458374023
44,-459.49844694137573
45,-502.1771674156189
46,-542.3705196380615
47,-326.2455849647522
48,-627.1377778053284
49,-462.6101427078247
50,-361.5481472015381
51,-411.2224507331848
52,-322.7742671966553
53,-258.48291397094727
54,-376.45641899108887
55,-420.19566822052
56,-400.174024105072
57,-336.39556789398193
58,-360.580286026001
59,-391.7580261230469
60,-417.678590297699
61,-412.33451318740845
62,-430.8260793685913
63,-383.3560576438904
64,-552.8194499015808
65,-439.51352882385254
66,-416.34320640563965
67,-370.9732036590576
68,-447.1095266342163
69,-615.3242392539978
70,-522.6435976028442
71,-451.9131770133972
72,-491.51707315444946
73,-373.42694091796875
74,-437.89422035217285
75,-408.87864685058594
76,-417.3464241027832
77,-474.0286226272583
78,-470.28228425979614
79,-502.630428314209
80,-583.1314468383789
81,-421.04820823669434
82,-331.61260175704956
83,-590.6734809875488
84,-410.58904504776
85,-427.9255895614624
86,-330.7828621864319
87,-486.57975673675537
88,-419.17750453948975
89,-430.1798815727234
90,-379.9985570907593
91,-367.7934031486511
92,-468.92493724823
93,-433.97314167022705
94,-376.6024513244629
95,-466.3639430999756
96,-356.1867880821228
97,-517.4467148780823
98,-368.85717153549194
99,-407.47656440734863
100,-391.6856298446655
101,-335.92739391326904
102,-547.5543360710144
103,-520.088586807251
104,-479.29975271224976
105,-456.90478134155273
106,-336.85082483291626
107,-514.1620597839355
108,-493.78182077407837
109,-297.50836277008057
110,-338.01404094696045
111,-375.9012908935547
112,-293.7696123123169
113,-309.67820024490356
114,-380.76721715927124
115,-338.74337244033813
116,-463.5425581932068
117,-500.41815662384033
118,-376.225661277771
119,-468.70363903045654
120,-432.3544464111328
121,-327.59823274612427
122,-481.4961438179016
123,-397.8195333480835
124,-340.1407766342163
125,-454.2918472290039
126,-440.48483753204346
127,-505.50493240356445
128,-405.86210775375366
129,-378.1093955039978
130,-336.3204665184021
131,-328.0054392814636
132,-439.89697265625
133,-400.211012840271
134,-411.97590684890747
135,-442.2816495895386
136,-384.2435221672058
137,-399.865318775177
138,-430.95138597488403
139,-393.84331130981445
140,-422.8326392173767
141,-468.84492588043213
142,-374.26999378204346
143,-593.7248120307922
144,-402.2307801246643
145,-325.3957085609436
146,-430.9934425354004
147,-440.5257773399353
148,-415.5673727989197
149,-457.0622420310974
150,-313.4400534629822
151,-411.7712106704712
152,-479.9341959953308
153,-578.0550479888916
154,-473.05250787734985
155,-356.14195585250854
156,-423.834680557251
157,-371.5307059288025
158,-358.35052490234375
159,-429.7493119239807
160,-370.4003038406372
161,-347.06447315216064
162,-524.4383959770203
163,-384.6037006378174
164,-370.64144134521484
165,-485.083110332489
166,-485.45709562301636
167,-459.2175130844116
168,-332.4802722930908
169,-430.86293601989746
170,-450.0698218345642
171,-429.6557445526123
172,-460.9862036705017
173,-484.2838816642761
174,-480.49382162094116
175,-408.89872646331787
176,-396.4125437736511
177,-287.82381105422974
178,-422.1397771835327
179,-512.3852739334106
180,-434.46264266967773
181,-489.0189218521118
182,-422.2048726081848
183,-428.6045413017273
184,-376.9370803833008
185,-412.7990427017212
186,-477.172571182251
187,-478.21858072280884
188,-346.1450786590576
189,-437.66795921325684
190,-492.1307692527771
191,-542.7120914459229
192,-491.4244613647461
193,-286.5792751312256
194,-380.1386651992798
195,-430.93162202835083
196,-278.9536933898926
197,-522.4100656509399
198,-478.35901737213135
199,-368.35473680496216
200,-400.53315782546997
201,-481.8630313873291
202,-342.93261194229126
203,-445.55357027053833
204,-440.09829330444336
205,-431.37519359588623
206,-496.22721099853516
207,-369.9964499473572
208,-346.94653701782227
209,-378.2404537200928
210,-433.37083768844604
211,-481.04993057250977
212,-507.6961860656738
213,-382.21814250946045
214,-425.1927604675293
215,-439.71032667160034
216,-480.73873805999756
217,-471.7449975013733
218,-372.3533763885498
219,-468.1136221885681
220,-501.47642993927
221,-432.49646854400635
222,-371.0970768928528
223,-264.4848551750183
224,-433.37004041671753
225,-490.6997423171997
226,-535.9139385223389
227,-526.3037037849426
228,-481.1976490020752
229,-328.8041715621948
230,-457.88540840148926
231,-462.36555910110474
232,-330.06017541885376
233,-427.65185165405273
234,-386.92315578460693
235,-474.2889289855957
236,-465.3023147583008
237,-461.9501738548279
238,-551.4182200431824
239,-321.739990234375
240,-427.83066415786743
241,-459.18228578567505
242,-395.18454694747925
